city,tot_pop,male,female,under_5,5_9,10_14,15_19,20_24,25_34,35_44,45_54,55_59,60_64,65_74,75_84,85_over,median_age,hispanic_latino,white,black,aian,asian,nhopi,other,median_income,insurance,private_insure,public_insure,no_insurance,year
Topanga,9055,4130,4925,599,764,573,379,201,709,1188,1918,954,546,606,465,153,45.6,655,7625,251,0,258,19,494,124773.0,8369,7512,1668,686,2012
Torrance,145443,70649,74794,7754,7886,9469,8994,7729,17504,21660,24475,9398,7653,11440,8129,3352,41.7,25037,59251,4311,220,50678,269,10988,76082.0,127331,109408,32329,17355,2012
Tracy,82481,41888,40593,7261,7797,7162,6589,5238,10752,13412,11426,4193,2399,3757,1937,558,31.6,31855,27926,4778,252,12756,937,7759,75259.0,71828,58942,18562,10516,2012
Tranquillity,990,429,561,168,121,58,38,95,155,37,52,10,137,76,43,0,26.5,831,72,0,87,0,0,0,26250.0,699,136,644,291,2012
Traver,967,582,385,76,80,85,79,114,124,165,127,27,22,54,14,0,29.6,820,103,0,32,0,0,24,36250.0,601,216,389,366,2012
Tres Pinos,348,191,157,15,18,35,28,12,34,56,85,11,18,29,3,4,40.1,112,230,6,0,0,0,0,84750.0,310,263,87,38,2012
Trinidad,281,121,160,2,0,5,19,16,45,38,37,33,19,46,10,11,49.2,7,263,0,3,1,0,14,50625.0,239,214,89,42,2012
Trona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,2012
Truckee,16100,8381,7719,1130,851,1094,1225,563,1957,3256,3254,1076,802,543,246,103,38.1,2357,13137,9,87,333,0,354,65397.0,12968,11685,2494,3117,2012
Tulare,59117,28887,30230,5325,5581,5692,4627,4229,8596,7644,6746,2820,2517,3097,1626,617,29.9,32940,20615,2336,399,1340,11,2795,45995.0,47651,30546,21857,11187,2012
Tulelake,981,483,498,89,82,88,49,64,150,82,116,103,56,55,27,20,33.6,490,389,43,20,4,0,70,28088.0,693,338,407,288,2012
Tuolumne City,2267,1114,1153,263,25,106,216,130,171,233,417,201,95,273,86,51,44.7,288,1787,0,3,3,0,372,33893.0,2078,1482,1016,189,2012
Tupman,160,97,63,10,4,14,20,36,13,0,56,0,0,7,0,0,24.2,10,144,0,6,0,0,0,42656.0,122,74,48,38,2012
Turlock,68576,33935,34641,5047,4871,5043,5586,5692,9640,9055,8901,3584,3100,4138,2562,1357,33.2,23906,36720,1086,476,4177,293,3498,52974.0,57630,42413,20753,10548,2012
Tustin,75712,37371,38341,5540,5915,5855,5373,5634,12085,12827,10062,3615,2654,3566,2000,586,33.0,29929,26145,1813,146,15715,360,2838,74011.0,61160,49125,15300,14439,2012
Twain Harte,2143,1155,988,165,64,22,84,194,170,131,358,327,230,219,111,68,49.9,303,1755,0,33,29,0,46,47788.0,1869,1411,925,274,2012
Twentynine Palms,25531,14617,10914,3173,1508,1072,1851,6363,4917,1956,1376,840,749,973,647,106,23.6,5038,15751,2091,292,1070,588,1397,42572.0,16361,12451,5800,1676,2012
Ukiah,15962,7880,8082,1140,991,1303,1163,1137,2031,2126,2045,948,951,1103,712,312,36.0,4559,9747,199,442,364,55,1134,44958.0,13308,8354,6748,2176,2012
Union City,69820,34243,35577,5056,4556,4547,4348,4968,9828,10153,9863,4318,4029,4921,2286,947,36.6,14892,9284,4301,208,37025,860,6237,83066.0,62702,50692,17537,6948,2012
Upland,74192,35666,38526,4418,5262,5237,5780,5276,9180,10122,11025,4795,3743,5132,3128,1094,37.0,28919,32772,3690,59,6372,115,4299,64797.0,62076,47600,20463,11661,2012
Upper Lake,849,460,389,24,131,43,81,77,125,36,56,36,41,143,22,34,27.9,356,426,0,22,8,0,74,26535.0,686,266,606,163,2012
Vacaville,92672,49868,42804,5764,5880,6429,6465,6080,13045,13794,15190,5535,4788,5644,2848,1210,37.5,20802,51871,8868,294,5231,533,9581,73024.0,74770,63743,20671,7164,2012
Valinda,22164,11293,10871,1530,1590,2078,2031,1561,3450,3220,2585,1160,901,1166,709,183,31.6,17054,1587,248,17,2977,8,474,66727.0,16886,11481,6372,5275,2012
Vallecito,674,350,324,70,29,39,78,0,52,59,136,71,10,69,52,9,45.3,27,647,0,0,0,0,0,63719.0,619,389,338,55,2012
Vallejo,116417,55213,61204,8284,7019,6818,8350,7969,15273,14469,17817,8488,7709,7533,4526,2162,38.0,26976,28774,23915,452,28270,1171,13380,60764.0,98184,74360,35875,17305,2012
Valley Center,9454,4658,4796,440,771,696,786,502,962,821,1783,1118,532,610,274,159,41.8,2402,6079,15,309,483,47,184,81895.0,7506,6432,2102,1885,2012
Valley Home,339,148,191,40,16,13,45,40,38,33,42,16,6,18,29,3,31.2,84,242,0,0,4,0,18,36875.0,254,166,138,85,2012
Valley Springs,3619,1924,1695,280,190,233,342,182,228,362,611,300,225,454,133,79,44.5,758,2690,18,0,127,0,52,65369.0,3183,2543,1255,436,2012
Val Verde,2442,1185,1257,261,226,212,181,219,261,380,330,129,114,117,12,0,31.3,1655,572,59,0,40,0,232,58971.0,1910,1336,676,532,2012
Vandenberg AFB,3632,2044,1588,580,363,254,183,669,980,505,64,0,26,8,0,0,23.1,767,1999,272,0,177,0,834,57821.0,2559,2501,121,49,2012
Victor,395,173,222,63,26,73,28,27,0,50,56,38,0,0,34,0,23.3,272,123,0,0,0,0,0,14583.0,382,192,190,13,2012
Victorville,115069,57622,57447,10267,10338,11540,10908,8083,16981,16069,13857,4734,3780,5122,2714,676,29.0,53897,33501,19411,435,5024,84,5076,52165.0,89294,57124,38962,21043,2012
Villa Park,5843,2990,2853,163,266,339,548,371,394,489,1179,568,343,752,373,58,49.1,491,4250,17,0,844,0,432,153726.0,5448,4980,1374,395,2012
Vina,109,54,55,0,0,0,14,0,10,13,25,0,0,7,30,10,52.2,23,86,0,0,0,0,0,28125.0,99,37,74,10,2012
Visalia,123905,60588,63317,10373,10301,9977,9991,8084,19267,15374,15745,6384,5568,6643,4326,1872,31.4,55842,56917,1955,618,6113,166,4325,53718.0,100656,71904,39637,22199,2012
Vista,94145,46370,47775,6987,6510,6315,6317,8576,15526,13438,12324,4885,4053,4639,2902,1673,33.2,44272,41114,2256,141,3662,341,4498,48676.0,68305,51661,22776,22527,2012
Walnut,29431,14660,14771,868,1565,2104,2429,2493,2833,3586,5068,2460,2462,2091,1082,390,42.7,5017,3778,873,50,18958,0,1476,102093.0,26224,22977,4580,3175,2012
Walnut Creek,64515,29469,35046,2942,3150,3133,2903,2923,7267,7938,9348,4238,4205,6809,5972,3687,47.3,6438,47335,1116,163,7739,24,3218,83419.0,59625,54298,18382,4294,2012
Walnut Grove,1569,691,878,100,116,229,59,107,120,290,159,58,40,174,100,17,37.1,468,878,0,0,191,2,60,69135.0,1404,1142,412,165,2012
Walnut Park,16066,8103,7963,1337,1238,1362,1451,1293,2392,2320,1744,859,508,828,561,173,30.6,15663,219,0,22,99,24,57,42558.0,10173,5337,5250,5893,2012
Wasco,25541,16130,9411,1998,2020,2025,2052,2377,5005,3786,3096,900,950,740,431,161,29.2,19098,3829,2023,88,383,3,217,42221.0,14303,7381,7877,5146,2012
Waterford,8432,4264,4168,734,850,769,756,643,1031,1107,1109,411,415,387,179,41,30.8,3585,4480,8,114,76,18,302,56288.0,7157,5066,2758,1275,2012
Watsonville,50945,25074,25871,4429,4227,4209,4889,4382,6791,7107,5787,2358,1679,2535,1682,870,29.7,40744,7318,81,85,2024,104,1135,46603.0,38898,21919,20435,11797,2012
Weaverville,3328,1404,1924,251,97,184,160,131,385,449,558,361,270,229,43,210,45.2,298,2612,27,40,54,0,594,39000.0,2506,1638,1329,741,2012
Weed,2966,1443,1523,143,179,196,414,365,344,340,392,79,60,243,127,84,29.5,541,2098,132,92,50,10,86,26341.0,2441,1644,1117,477,2012
Weldon,2661,1448,1213,142,91,195,135,70,96,242,621,230,206,290,298,45,51.4,232,2112,15,302,0,0,0,31167.0,2335,1396,1396,326,2012
Weott,59,22,37,0,0,0,0,0,0,0,0,42,17,0,0,0,59.7,0,42,0,17,0,0,0,92688.0,59,42,17,0,2012
West Covina,106290,50070,56220,7295,6581,7520,8771,8269,14231,14779,14834,6191,5547,6187,3906,2179,35.3,57789,15017,4952,150,26622,89,3101,68677.0,86934,65882,27880,19025,2012
West Hollywood,34572,19359,15213,504,246,326,252,2290,10087,6136,5306,1996,1796,2649,2106,878,40.3,4141,26824,721,80,1700,49,2009,53223.0,28148,23129,7378,6409,2012
Westlake Village,8307,3778,4529,267,554,672,737,211,366,1035,1475,624,642,822,719,183,46.9,711,6962,127,0,415,18,148,115018.0,7974,7375,2069,333,2012
Westley,1010,471,539,96,191,102,101,26,200,85,139,11,12,36,1,10,23.2,945,65,0,0,0,0,0,32045.0,667,175,502,343,2012
Westminster,89970,44694,45276,5360,5308,6536,6624,6346,10425,12812,12820,5561,5036,6921,4515,1706,38.3,20608,24029,542,56,42583,498,3169,54780.0,74040,47708,32737,15733,2012
Westmorland,1603,731,872,162,108,129,172,72,174,137,153,157,76,129,120,14,34.1,1418,167,10,8,0,0,0,29167.0,1323,458,915,280,2012
West Point,837,408,429,37,14,73,54,72,5,195,56,64,38,83,61,85,43.8,69,736,0,0,0,0,64,35375.0,783,334,611,43,2012
West Sacramento,48286,23411,24875,3790,3458,3661,3448,3009,8251,6939,6214,2340,2202,3059,1458,457,33.3,15445,23202,2265,454,4213,599,4054,54179.0,40936,29951,14817,7157,2012
West Whittier-Los Nietos,25434,12696,12738,1222,2078,1709,1990,1848,3825,3713,2892,1350,1796,1463,1087,461,35.2,22496,2302,85,108,276,0,234,60525.0,20264,14486,7359,5121,2012
Westwood,1445,820,625,76,56,142,93,94,164,103,242,113,124,162,76,0,44.8,56,1287,1,33,11,18,78,27813.0,1105,517,732,340,2012
Wheatland,3442,1714,1728,232,278,386,264,173,501,551,512,103,157,141,131,13,32.3,767,2081,47,16,292,0,478,60909.0,2841,2173,995,493,2012
Whittier,85423,41873,43550,5482,4946,6607,7332,6983,11564,11564,12421,4899,3589,4662,3451,1923,34.9,56360,23293,847,184,3286,171,2391,67417.0,72296,57482,21504,12629,2012
Wildomar,32101,16250,15851,2289,2373,2479,2786,2393,4186,4060,4729,1951,1727,1436,1316,376,33.7,12614,16922,838,105,992,105,1024,60219.0,25465,19539,7998,6488,2012
Williams,5084,2582,2502,565,472,396,467,454,488,850,579,259,177,192,151,34,28.2,3858,1073,26,8,30,27,124,48534.0,3524,2011,1700,1466,2012
Willits,4881,2298,2583,418,464,117,219,471,455,578,708,272,415,414,197,153,40.4,900,3723,7,103,1,0,294,36466.0,3452,2007,1895,1385,2012
Willow Creek,1451,727,724,73,94,29,12,85,233,148,173,125,132,278,49,20,51.4,70,1338,0,11,0,0,64,33208.0,1091,791,564,310,2012
Willows,6173,2968,3205,392,283,572,564,501,468,1054,1111,242,343,316,203,124,38.9,1644,3740,126,173,303,0,374,41020.0,4722,2978,2511,1204,2012
Wilton,3999,1840,2159,188,219,289,314,252,389,311,752,262,294,348,301,80,45.6,562,2835,42,35,345,0,299,86713.0,3682,3396,1014,315,2012
Winchester,2835,1469,1366,36,145,298,220,262,166,402,811,73,22,338,45,17,41.7,390,2314,0,0,44,0,174,51250.0,2176,1464,894,659,2012
Windsor,26597,12982,13615,1436,2335,2275,2166,1474,2941,3767,4311,1332,1403,1616,1064,477,37.5,7765,17087,141,463,796,0,690,79076.0,24410,21667,5330,2170,2012
Winterhaven,324,193,131,140,0,0,18,9,58,0,61,0,0,21,17,0,20.4,185,21,0,92,0,0,52,11292.0,154,31,123,170,2012
Winters,6724,3136,3588,557,461,422,533,415,1035,670,1079,471,354,371,293,63,34.7,2920,3447,0,0,116,32,418,63912.0,5957,4876,1795,767,2012
Winton,11269,5886,5383,1002,1105,1208,1128,987,1517,1421,1529,418,335,428,136,55,26.2,8317,1741,311,0,889,0,11,37756.0,8535,4442,4705,2734,2012
Woodacre,1368,663,705,60,59,172,68,22,72,109,331,130,185,103,19,38,50.5,93,1210,31,0,34,0,0,65455.0,1262,1132,276,106,2012
Woodlake,7289,3886,3403,865,647,687,557,729,1089,724,844,273,265,323,224,62,26.3,6437,630,12,14,20,0,352,35052.0,5399,2057,3777,1881,2012
Woodland,55585,27310,28275,4337,3603,3979,4107,4609,7588,7377,7558,3280,2687,3065,2179,1216,34.4,26395,23923,558,300,3193,118,2058,55139.0,46794,35915,16359,7866,2012
Woodside,5329,2609,2720,159,415,503,449,62,262,560,972,355,465,587,437,103,48.1,376,4642,14,0,207,0,159,212649.0,5123,4603,1267,206,2012
Woodville,2070,1084,986,236,170,161,229,152,327,265,270,130,58,50,22,0,27.5,1867,199,0,4,0,0,0,35800.0,1179,390,852,891,2012
Wrightwood,4623,2383,2240,398,370,237,158,103,727,509,847,405,201,501,73,94,40.2,549,4074,0,0,0,0,0,72231.0,4076,3372,1257,547,2012
Yettem,259,116,143,32,29,46,0,36,0,88,27,0,1,0,0,0,24.6,258,1,0,0,0,0,0,27371.0,200,1,199,59,2012
Yolo,462,302,160,26,39,61,47,0,63,68,51,33,43,16,15,0,33.8,426,36,0,0,0,0,0,32167.0,334,282,94,128,2012
Yorba Linda,64699,31769,32930,3524,3854,4663,5273,3985,6182,8365,12249,4989,3846,4474,2325,970,41.4,9537,41192,673,296,10875,12,3894,116881.0,60231,55284,9909,4413,2012
Yountville,2963,1456,1507,64,129,101,245,99,195,199,352,259,178,437,360,345,58.1,362,2312,75,51,91,0,144,68864.0,2319,2031,981,131,2012
Yreka,7732,3700,4032,609,605,443,576,483,754,759,966,490,507,709,601,230,41.4,811,5795,116,229,155,49,1154,31054.0,6766,3928,4177,889,2012
Yuba City,64641,32071,32570,4856,5220,4791,4895,4970,8871,8370,8274,3486,3078,4310,2624,896,33.4,18593,29951,1294,503,11402,174,5344,50013.0,51795,34760,23000,11695,2012
Yucaipa,51319,26224,25095,2979,3983,3757,3968,3144,6215,6772,7531,3098,2820,4041,2044,967,37.3,14179,33458,905,337,894,370,2315,59428.0,41626,31822,14331,9266,2012
Yucca Valley,20712,10054,10658,1458,1480,1530,1262,1351,2473,2151,2932,1417,1058,1955,1077,568,37.8,3175,15982,334,30,548,23,1240,42962.0,16495,10798,8219,3756,2012
Acampo,666,480,186,68,0,0,0,130,213,19,87,106,43,0,0,0,31.0,429,237,0,0,0,0,0,126923.0,576,576,0,90,2013
Acton,7022,3596,3426,398,377,437,510,489,428,868,1425,703,476,625,286,0,45.0,1199,5526,22,18,95,0,264,89886.0,6304,5433,1564,711,2013
Adelanto,31376,16302,15074,3739,3339,3086,2784,3128,5451,3497,3076,934,943,865,499,35,24.2,16307,6252,6509,6,661,170,2933,38768.0,24002,11547,13844,5642,2013
Adin,289,132,157,18,36,20,0,0,4,40,39,39,29,23,23,18,54.1,11,275,0,3,0,0,0,29485.0,275,214,120,14,2013
Agoura Hills,20488,10234,10254,834,1278,1333,1546,1103,2083,2347,3957,1863,1569,1747,649,179,44.3,2355,15776,329,15,1426,0,1122,107885.0,19011,17245,3647,1413,2013
Agua Dulce,3161,1628,1533,148,123,276,340,138,151,381,544,304,291,334,106,25,45.3,759,2043,0,0,12,0,694,103333.0,2868,2509,843,293,2013
Aguanga,1119,473,646,15,105,47,191,0,82,33,286,28,55,180,97,0,47.8,107,965,30,0,0,0,34,49618.0,671,521,441,448,2013
Ahwahnee,1788,879,909,19,133,105,145,108,81,289,153,154,135,234,201,31,45.7,13,1735,0,26,1,0,26,54926.0,1652,1443,603,129,2013
Alameda,74818,36250,38568,4316,4568,3833,3806,4156,10109,11629,12075,5328,4756,5505,3117,1620,40.6,9066,32149,5011,129,24050,447,7618,74606.0,65043,54041,18628,8468,2013
Alamo,15672,7976,7696,755,1030,1499,1197,530,801,1866,2819,1466,1174,1541,718,276,46.0,721,13460,90,5,974,38,676,160220.0,15388,14723,2727,254,2013
Albany,18769,9157,9612,1555,1268,1369,1083,774,3194,3220,2282,1304,907,1131,486,196,35.5,2007,9421,903,48,5157,112,2186,79926.0,17373,15820,3212,1367,2013
Albion,263,159,104,0,0,0,68,17,20,8,83,0,49,14,4,0,46.3,30,186,4,0,26,0,34,12394.0,158,125,37,105,2013
Alhambra,83799,40444,43355,4377,3914,3779,5146,5978,13944,11196,12710,5818,4690,6077,3809,2361,39.8,29214,8860,1148,84,43283,53,2092,54148.0,67435,50464,22699,15738,2013
Aliso Viejo,48805,23352,25453,4344,3145,3216,2943,2618,7464,9573,8396,2188,1510,2243,678,487,35.8,7753,29393,1380,64,7601,20,4596,99394.0,43937,40533,5505,4809,2013
Allensworth,450,203,247,50,49,60,62,28,50,52,74,16,4,3,2,0,20.4,414,6,24,0,4,0,4,25500.0,316,64,254,134,2013
Alpaugh,872,444,428,143,106,81,67,65,111,94,130,31,13,15,11,5,23.1,650,170,26,24,0,0,4,25341.0,673,259,466,199,2013
Alpine,13717,6489,7228,678,562,866,1014,810,1361,1457,2576,1050,931,1426,638,348,45.5,2647,10157,231,43,133,30,907,76833.0,12249,10261,3842,1395,2013
Alta,453,210,243,4,12,30,25,31,23,66,90,44,48,51,21,8,47.6,12,432,0,0,0,1,16,57708.0,408,363,139,45,2013
Altadena,45015,21912,23103,2681,2756,2601,3089,2373,5109,6585,7258,3466,2599,3669,1921,908,41.4,13169,17862,9371,11,2667,123,3456,82895.0,37416,30065,11400,7330,2013
Alturas,2762,1318,1444,138,102,256,194,189,215,270,662,107,190,276,126,37,45.2,323,2232,26,91,0,0,180,27500.0,2269,1277,1378,426,2013
American Canyon,19656,9350,10306,1004,1415,2061,1635,1462,2090,2993,2777,1364,907,1274,539,135,35.8,5376,5234,1487,41,6661,138,1355,83230.0,17284,14202,4704,2324,2013
Anaheim,340081,170068,170013,26092,25110,25249,26293,25476,52329,48138,45352,18053,14564,18556,10412,4457,32.8,178723,93099,8174,508,51528,1676,12351,59165.0,261730,179855,98770,76589,2013
Anderson,10025,4642,5383,715,653,747,709,747,1536,1181,1398,655,365,592,454,273,33.9,1078,8058,38,193,270,0,776,34559.0,8348,4417,5157,1633,2013
Angels,3788,1682,2106,268,82,68,167,373,367,316,449,306,294,679,183,236,52.3,550,3120,0,18,0,0,200,50948.0,3266,2508,1765,522,2013
Angwin,3324,1750,1574,103,87,134,601,790,454,241,311,129,180,137,119,38,23.7,956,1641,146,3,376,28,348,56895.0,2957,2683,653,348,2013
Antelope,47520,22821,24699,3371,3664,4541,3936,3997,5884,7418,6802,2567,1963,2117,974,286,32.3,6706,26897,4147,141,5292,499,7088,65352.0,40108,30937,12640,7353,2013
Antioch,104035,49875,54160,7026,7851,8013,8767,8634,13303,12874,15000,7479,5364,6090,2587,1047,33.8,34918,34995,17788,481,10406,800,9040,65254.0,88987,67283,31222,14724,2013
Anza,2599,1184,1415,256,113,180,77,234,389,135,213,147,319,325,170,41,39.2,639,1840,9,5,0,0,212,39637.0,1985,1243,1305,614,2013
Apple Valley,69785,33921,35864,5204,4350,5436,5223,5394,8134,7166,9322,4529,4063,6083,3555,1326,36.6,20505,40587,5874,179,1431,0,2304,48432.0,58279,38275,27556,11147,2013
Aptos,5763,2720,3043,256,305,287,370,575,772,490,818,664,333,640,173,80,42.1,729,4640,40,0,250,15,178,75845.0,5274,4883,1320,489,2013
Arbuckle,3276,1622,1654,408,232,225,416,241,370,334,408,168,250,113,111,0,27.8,2463,581,0,0,11,0,442,49123.0,2342,1344,1180,934,2013
Arcadia,56758,26766,29992,2549,2988,4115,3835,3463,5821,7982,10008,3869,3263,4326,2860,1679,42.6,6610,14913,518,52,33234,113,2516,77704.0,49427,41504,12400,7024,2013
Arcata,17559,8729,8830,800,544,736,2627,3933,2577,1736,1300,1061,828,702,473,242,25.3,2435,13053,285,684,431,11,1293,31336.0,13853,11212,4351,3661,2013
Armona,3778,1823,1955,192,444,448,425,256,425,683,402,64,112,185,132,10,27.8,2759,737,82,42,109,0,98,40181.0,2764,1502,1509,1007,2013
Arnold,2515,1292,1223,49,37,114,86,75,86,90,617,316,248,581,189,27,57.1,115,2267,0,9,35,0,178,54564.0,2306,1913,1122,209,2013
Aromas,2684,1411,1273,128,113,174,180,200,281,147,539,371,214,242,86,9,46.7,829,1467,0,43,175,0,298,73500.0,2237,1854,606,447,2013
Arroyo Grande,17411,8479,8932,733,823,1048,1406,896,1147,2189,2900,1439,1077,2109,1004,640,46.3,2311,13496,174,83,885,0,859,63802.0,15523,13315,5125,1759,2013
Artesia,16605,8503,8102,717,759,1145,1359,1630,2185,2257,2431,1418,815,1004,520,365,37.7,5905,3454,684,79,6136,0,683,59845.0,12348,8901,4378,3857,2013
Arvin,19665,10411,9254,2295,1956,1831,2205,2091,2970,2444,1874,625,622,548,158,46,23.4,18003,1282,172,12,85,26,138,32999.0,12624,5642,7681,6968,2013
Atascadero,28613,14657,13956,1502,1461,1875,1817,1851,3532,3327,4872,2260,1998,2203,1330,585,42.4,4534,22569,406,92,556,29,854,65344.0,24596,21142,7317,3332,2013
Atherton,6993,3557,3436,346,414,578,596,350,373,571,1180,474,701,703,514,193,47.6,341,5553,33,0,706,55,605,239886.0,6838,6420,1450,148,2013
Atwater,28423,13937,14486,2446,2318,2574,2534,2028,4168,3742,3157,1198,1337,1660,965,296,30.3,14466,9997,1072,52,1890,112,1631,42162.0,22536,14184,10824,5810,2013
Auberry,2100,1003,1097,102,10,70,148,98,141,47,453,288,255,200,175,113,54.5,419,1614,6,3,12,0,92,50563.0,1787,1472,719,198,2013
Auburn,13573,6651,6922,549,766,674,774,711,1366,1602,2320,1355,918,1284,685,569,47.3,741,11757,215,66,283,12,986,58678.0,12375,10483,4058,1060,2013
Avalon,3744,1815,1929,274,238,333,263,307,500,478,516,235,210,284,53,53,34.7,2447,1205,9,10,2,0,142,65433.0,2384,1858,755,1340,2013
Avenal,15001,9680,5321,1574,1148,967,1035,1457,2735,2277,2013,673,384,546,109,83,30.1,12086,1681,778,87,100,4,530,28794.0,7781,3185,4879,3402,2013
Avery,629,233,396,0,0,31,22,18,0,53,158,0,79,182,86,0,60.9,0,629,0,0,0,0,0,27326.0,570,362,319,59,2013
Avocado Heights,14687,7530,7157,1026,785,1076,1268,1125,2272,1939,1820,801,709,1103,484,279,34.4,11927,1202,0,8,1413,0,238,72240.0,10937,8104,3750,3750,2013
Azusa,46843,22759,24084,3172,3215,3420,5857,5854,6444,6166,5188,2065,1914,1985,1057,506,27.9,30880,9549,1430,61,4114,22,1504,52001.0,35946,25096,12578,10733,2013
Baker,837,482,355,50,44,72,114,117,127,149,74,33,38,19,0,0,27.1,590,177,22,0,33,0,30,32833.0,517,176,341,240,2013
Bakersfield,352918,174622,178296,32037,29390,28783,29967,28635,52417,45265,44144,17860,13962,16851,9745,3862,30.1,162474,129401,27725,2190,21731,440,17362,56204.0,287014,201875,111601,63986,2013
Baldwin Park,75933,38306,37627,5237,5434,6239,6858,6718,10838,10149,10393,4358,2976,4139,1829,765,31.0,60728,3204,643,214,10708,56,745,51153.0,54656,30015,26815,20884,2013
Ballico,353,204,149,15,29,29,36,30,52,39,29,28,20,34,0,12,34.1,136,203,6,0,3,5,0,62250.0,317,224,122,36,2013
Bangor,578,242,336,23,16,84,34,9,40,48,130,28,56,53,30,27,47.9,2,516,0,5,17,0,76,38864.0,510,338,244,68,2013
Banning,29968,13963,16005,1815,1593,1498,1579,1787,3449,2677,3468,1503,1431,4164,3773,1231,46.4,10896,14613,2270,149,1549,21,908,38825.0,23629,14081,15054,5619,2013
Barstow,22909,11400,11509,2280,1315,1626,2184,1752,2639,3011,3051,1331,1262,1271,905,282,33.7,9581,7757,2863,223,627,923,1870,42354.0,19270,12125,9477,3243,2013
Bay Point,21582,10890,10692,1607,2070,1737,2172,1460,3502,3147,2673,967,887,907,329,124,30.2,12289,4546,2427,12,1486,193,1223,43441.0,17009,9922,8304,4516,2013
Beale AFB,1486,804,682,256,226,111,59,209,415,146,52,0,8,0,0,4,23.5,150,938,113,0,118,6,266,49821.0,1093,902,199,13,2013
Beaumont,38143,18894,19249,4048,3143,2922,2716,1876,5770,5750,4331,2144,1680,2617,849,297,32.9,14725,17101,1660,89,3630,60,1698,69302.0,33244,26795,9408,4740,2013
Bell,35704,18658,17046,2981,2661,3109,3574,2713,4992,5635,4539,1619,1279,1246,987,369,30.5,32659,2174,413,37,187,156,141,35985.0,22958,10938,12646,12651,2013
Bella Vista,2611,1280,1331,178,90,159,184,120,176,301,585,163,103,368,145,39,45.9,155,2277,6,54,18,28,146,57986.0,2375,1540,1270,234,2013
Bellflower,76989,37219,39770,6037,5847,6231,6033,6141,11432,10794,9520,4171,3676,4072,2218,817,32.0,40792,15386,10693,156,8356,277,2345,49637.0,60190,40671,23860,16458,2013
Bell Gardens,42462,21278,21184,4063,3946,4099,3981,3358,6930,6083,4626,1837,1240,1413,552,334,27.3,41045,1027,212,25,106,25,22,38170.0,26090,11692,15318,16136,2013
Belmont,26200,12974,13226,1711,1394,1642,1277,1123,3215,4149,4259,1931,1484,2075,1271,669,41.1,3411,14918,580,39,5654,18,3054,102895.0,24415,22009,5672,1667,2013
Belvedere,1901,870,1031,58,168,75,98,16,59,203,201,196,177,324,180,146,56.8,136,1618,5,0,56,0,172,166071.0,1825,1662,634,76,2013
Benicia,27225,13145,14080,1194,1762,2125,1803,1352,2751,2985,5098,2374,2180,2272,1111,218,44.0,4096,17297,1270,207,2577,214,3128,88502.0,24836,22061,5962,2377,2013
Ben Lomond,6192,3055,3137,356,319,350,310,333,886,705,1176,534,567,476,71,109,43.5,618,5311,0,6,96,0,271,74301.0,5370,4438,1517,822,2013
Berkeley,114037,55081,58956,4478,4208,3286,11907,18889,19327,12736,12021,6365,6451,8773,3673,1923,31.8,11804,63915,9560,246,22793,345,10306,63312.0,103926,92750,22268,9730,2013
Bermuda Dunes,7351,3505,3846,582,515,380,571,538,818,978,1082,615,466,462,260,84,37.5,2371,4229,511,0,63,0,354,61519.0,5926,4749,1711,1425,2013
Berry Creek,1232,712,520,55,22,48,60,41,118,153,162,210,111,181,40,31,52.7,87,1011,22,13,8,0,182,39219.0,938,580,572,294,2013
Beverly Hills,34341,15587,18754,1441,1628,1920,2281,2014,4572,4007,5356,2148,2175,3188,2172,1439,43.4,2072,27482,887,42,2512,47,2598,86141.0,31167,27378,7922,3172,2013
Bieber,218,117,101,16,12,12,2,51,32,17,24,11,3,14,21,3,29.5,11,198,0,0,5,0,8,70809.0,205,157,96,13,2013
Big Bear City,12147,6085,6062,756,333,829,736,1082,1510,853,2033,921,1119,1160,626,189,44.8,2455,9414,0,65,88,0,217,42158.0,8663,6109,4065,3484,2013
Big Bear Lake,5080,2377,2703,245,231,487,244,197,555,719,572,412,388,579,317,134,43.0,1172,3580,89,58,0,142,78,33036.0,3437,2172,2047,1611,2013
Biggs,1827,985,842,134,145,127,104,213,296,158,237,102,99,127,56,29,31.3,780,816,0,22,67,23,238,41328.0,1527,809,955,300,2013
Big Pine,1611,839,772,97,120,57,85,53,177,216,253,81,179,104,154,35,45.1,106,1116,0,292,63,10,48,48583.0,1360,988,637,234,2013
Big River,1121,546,575,19,5,51,28,20,31,58,203,112,94,266,193,41,62.7,115,879,0,56,0,0,142,24405.0,826,514,630,295,2013
Bishop,3856,1803,2053,355,107,271,182,219,411,447,556,427,311,239,168,163,43.2,1070,2558,24,75,104,0,50,30813.0,3146,2282,1203,650,2013
Bloomington,25062,12957,12105,1949,1982,2432,2470,2331,3203,3800,3108,1037,1090,992,486,182,29.4,21019,2916,764,17,101,30,412,47888.0,17321,10215,8394,7702,2013
Blue Lake,1412,720,692,92,116,72,38,98,247,231,183,132,73,85,39,6,36.8,73,1113,28,138,24,7,58,55750.0,1121,799,425,291,2013
Blythe,20405,14072,6333,936,825,1092,1227,1573,3770,3375,3723,1312,895,1011,506,160,37.1,10769,6045,2788,83,385,28,614,46856.0,11538,7688,4736,2257,2013
