city,tot_pop,male,female,under_5,5_9,10_14,15_19,20_24,25_34,35_44,45_54,55_59,60_64,65_74,75_84,85_over,median_age,hispanic_latino,white,black,aian,asian,nhopi,other,median_income,insurance,private_insure,public_insure,no_insurance,year
Arroyo Grande,17284,8165,9119,756,901,1160,1254,1086,1250,2332,2589,1369,1149,1876,891,671,44.6,2420,13159,240,109,947,0,755,62976.0,15089,12789,5067,2072,2012
Artesia,16541,8400,8141,709,820,1110,1380,1452,2132,2393,2393,1267,890,1011,646,338,38.5,5888,3651,636,82,5998,0,550,59078.0,12761,9231,4591,3343,2012
Arvin,19298,10024,9274,2133,1847,1877,2234,1977,2726,2467,1868,654,655,602,203,55,23.7,17138,1635,100,9,246,36,238,30719.0,12270,5212,7695,6957,2012
Atascadero,28441,14890,13551,1452,1137,2088,1979,1971,3406,3368,5061,2473,1634,1886,1395,591,41.9,4351,22423,469,246,367,29,1112,66603.0,23628,20176,7112,3876,2012
Atherton,6972,3486,3486,343,385,670,698,325,344,557,1170,420,683,670,539,168,46.4,363,5599,11,0,656,61,552,228393.0,6792,6396,1476,170,2012
Atwater,28153,13819,14334,2603,2645,2407,2464,1944,4136,3301,3348,1096,1235,1630,1002,342,30.0,14243,10491,1011,41,1527,166,1340,41317.0,22905,14156,11783,5169,2012
Auberry,1903,970,933,22,0,62,121,33,135,68,447,269,292,199,130,125,56.2,247,1617,7,6,12,0,28,58659.0,1545,1439,504,242,2012
Auburn,13502,6464,7038,636,794,576,937,630,1569,1579,2159,1297,928,1277,670,450,45.3,782,11712,186,65,181,7,1115,59238.0,12398,10203,4211,992,2012
Avalon,3717,1868,1849,260,178,343,270,260,535,454,558,222,188,275,88,86,35.4,2329,1333,1,0,6,0,96,52955.0,2382,1806,854,1316,2012
Avenal,15341,9229,6112,1549,1416,1105,1120,1385,2678,2184,2059,663,409,561,156,56,29.3,12663,1673,602,60,97,0,492,27927.0,8564,3691,5293,3847,2012
Avery,588,204,384,0,0,31,20,18,0,49,147,0,39,190,94,0,60.7,0,588,0,0,0,0,0,23368.0,532,318,333,56,2012
Avocado Heights,15312,7862,7450,1069,890,1173,1349,1366,2266,1942,1868,773,754,1092,502,268,33.7,12476,1234,60,11,1383,0,245,72825.0,11488,8329,4026,3824,2012
Azusa,46523,22538,23985,3269,3131,3552,5542,5802,6374,6213,5398,2183,1689,1780,1080,510,28.1,31258,9241,1484,120,3735,9,1285,53063.0,35605,25431,12143,10735,2012
Baker,730,443,287,54,49,63,91,62,127,128,99,10,30,17,0,0,27.9,524,131,36,0,0,14,44,33068.0,423,91,332,175,2012
Bakersfield,347091,171651,175440,30839,29515,28616,29695,27391,52395,44947,43268,17495,13099,16755,9352,3724,30.0,156752,129890,27623,2240,20590,346,18571,54265.0,282090,200067,107555,62759,2012
Baldwin Park,75650,37842,37808,5396,5385,6475,7263,6605,10873,10239,10022,4241,2843,3834,1795,679,30.5,60223,3541,609,63,10641,87,954,51244.0,53755,30451,25705,21511,2012
Ballico,305,169,136,19,15,22,26,42,34,30,26,25,15,36,0,15,34.2,134,158,0,2,7,4,0,63125.0,270,201,91,35,2012
Bangor,454,208,246,12,18,54,33,5,32,39,101,38,31,51,15,25,48.3,0,416,0,15,10,0,26,44559.0,429,272,235,25,2012
Banning,29682,13758,15924,1544,1598,1806,1914,1210,3087,2864,3734,1471,1494,4001,3802,1157,47.0,11125,14192,2001,87,1955,19,536,38919.0,23611,14471,14802,5379,2012
Barstow,22836,11659,11177,2376,1264,1556,2203,1904,2645,3245,2957,1176,1205,1240,811,254,32.9,9428,7816,2887,260,441,990,2028,44623.0,19026,12419,9074,3288,2012
