city,enrollment,vaccinated,school_year,year,vac_pct,geoid,male_pct,female_pct,under_5_pct,5_9_pct,10_14_pct,15_19_pct,20_24_pct,25_34_pct,35_44_pct,45_54_pct,55_59_pct,60_64_pct,65_74_pct,75_84_pct,85_over_pct,median_age,hispanic_latino_pct,white_pct,black_pct,aian_pct,asian_pct,nhopi_pct,other_pct,median_income,insurance_pct,private_insure_pct,public_insure_pct,no_insurance_pct
American Canyon,2076.0,2063.0,2011-2012,2012,99.373795761079,1600000US0601640,47.1,52.9,5.9,7.1,10.9,8.4,6.3,9.7,16.2,14.0,6.3,4.7,6.6,3.1,0.8,36.3,24.0,29.3,7.0,0.4,33.7,1.6,7.300000000000002,83609.0,89.0,74.3,23.0,11.0
Anaheim,41407.0,40773.0,2011-2012,2012,98.46885792257348,1600000US0602000,50.2,49.8,7.8,7.5,7.6,7.7,7.4,15.7,14.4,13.1,5.1,4.0,5.2,3.0,1.3,32.4,52.8,27.6,2.4,0.1,14.8,0.5,3.3000000000000003,59627.0,76.9,53.6,28.6,23.1
Anderson,2153.0,1980.0,2011-2012,2012,91.96470041802137,1600000US0602042,45.7,54.3,7.7,6.8,5.8,6.9,6.4,14.7,12.6,14.3,6.7,4.2,6.2,5.3,2.4,37.0,9.5,78.4,1.5,1.8,2.9,0.7,10.2,34306.0,83.6,43.8,52.0,16.4
Angels,1021.0,978.0,2011-2012,2012,95.78844270323212,1600000US0602112,44.4,55.6,6.7,3.9,2.1,4.4,4.6,11.2,11.1,15.2,7.1,7.5,16.7,4.0,5.5,50.0,14.6,82.6,0.0,0.9,0.0,0.0,3.8,51986.0,82.5,64.8,41.6,17.5
Angwin,151.0,132.0,2011-2012,2012,87.41721854304636,1600000US0602168,51.8,48.2,4.1,3.2,4.8,16.9,24.2,13.4,6.7,9.8,3.9,4.9,3.5,3.6,1.1,22.9,28.2,47.0,7.0,0.1,12.9,1.0,7.8,57550.0,90.0,81.3,18.1,10.0
Antelope,4980.0,4691.0,2011-2012,2012,94.19678714859437,1600000US0602210,47.6,52.4,7.9,7.9,9.8,8.6,8.2,13.3,15.9,13.4,4.3,4.3,4.1,1.9,0.5,30.5,12.7,59.0,9.9,0.2,10.0,1.3,13.0,67425.0,87.1,68.1,26.3,12.9
Antioch,11474.0,11197.0,2011-2012,2012,97.58584626111208,1600000US0602252,48.4,51.6,7.2,7.4,7.9,8.5,8.1,12.7,13.0,14.8,6.5,4.9,5.6,2.4,1.1,33.5,33.0,33.9,17.0,0.5,10.6,0.7,8.1,65494.0,84.7,65.9,26.9,15.3
Anza,575.0,537.0,2011-2012,2012,93.3913043478261,1600000US0602294,47.1,52.9,6.7,3.9,8.4,4.5,7.5,18.1,6.4,10.3,5.5,10.2,9.7,7.1,1.6,35.7,25.0,72.4,0.4,0.2,0.0,2.0,0.0,39257.0,74.3,47.7,42.3,25.7
Apple Valley,9166.0,8689.0,2011-2012,2012,94.79598516255727,1600000US0602364,47.7,52.3,7.8,6.3,8.0,8.1,7.0,11.2,10.7,14.1,5.8,5.7,8.4,5.0,1.8,36.3,29.0,57.8,9.3,0.1,2.2,0.0,3.4000000000000004,48491.0,83.8,54.9,39.9,16.2
Aptos,2852.0,2679.0,2011-2012,2012,93.93408134642355,1600000US0602378,46.6,53.4,3.5,5.5,4.7,6.4,7.5,12.9,10.9,17.1,10.7,5.9,10.0,3.6,1.3,43.4,14.2,79.0,1.1,0.0,4.3,0.1,2.6,80000.0,92.2,85.1,21.6,7.8
Arbuckle,789.0,776.0,2011-2012,2012,98.35234474017744,1600000US0602420,52.2,47.8,11.2,6.8,7.3,13.2,7.2,9.9,11.8,12.4,4.8,6.5,5.3,3.1,0.3,28.5,67.6,23.3,0.0,0.0,0.6,0.0,16.9,51114.0,73.7,44.2,38.1,26.3
Arcadia,7691.0,7573.0,2011-2012,2012,98.46573917565986,1600000US0602462,47.6,52.4,4.5,5.5,7.2,6.8,5.9,10.6,14.9,17.3,6.7,5.6,7.3,5.2,2.5,42.0,11.8,27.2,1.4,0.2,56.8,0.3,4.4,77342.0,87.3,74.2,21.2,12.7
Arcata,1979.0,1696.0,2011-2012,2012,85.69984840828701,1600000US0602476,48.9,51.1,4.4,3.3,3.9,14.1,22.0,15.8,9.6,7.8,6.4,4.5,3.8,2.9,1.5,26.0,13.0,75.6,1.9,4.2,2.3,0.0,5.8,32097.0,77.4,62.9,23.5,22.6
Armona,446.0,429.0,2011-2012,2012,96.18834080717488,1600000US0602700,48.5,51.5,5.8,11.4,11.5,9.4,6.7,11.9,15.4,11.5,4.3,3.4,5.4,3.0,0.3,31.4,70.0,23.3,4.5,0.0,1.6,0.0,0.7,40647.0,70.2,35.4,42.6,29.8
Arnold,51.0,42.0,2011-2012,2012,82.35294117647058,1600000US0602770,50.7,49.3,1.3,0.7,4.7,0.7,2.2,2.4,6.7,27.4,13.7,10.6,21.2,7.4,1.0,57.2,8.8,89.1,0.0,0.4,0.5,0.0,2.4,54563.0,89.3,72.2,41.6,10.7
Aromas,150.0,145.0,2011-2012,2012,96.66666666666667,1600000US0602812,54.1,45.9,5.7,6.7,7.0,7.7,6.0,7.0,8.0,18.7,9.5,7.0,10.6,4.3,1.7,46.0,33.8,52.5,0.0,1.3,7.0,0.0,9.5,79609.0,88.3,75.8,24.2,11.7
Arroyo Grande,4176.0,3955.0,2011-2012,2012,94.70785440613027,1600000US0602868,47.2,52.8,4.4,5.2,6.7,7.3,6.3,7.2,13.5,15.0,7.9,6.6,10.9,5.2,3.9,44.6,14.0,76.1,1.4,0.6,5.5,0.0,4.4,62976.0,87.9,74.5,29.5,12.1
Artesia,1621.0,1590.0,2011-2012,2012,98.08760024676127,1600000US0602896,50.8,49.2,4.3,5.0,6.7,8.3,8.8,12.9,14.5,14.5,7.7,5.4,6.1,3.9,2.0,38.5,35.6,22.1,3.8,0.5,36.3,0.0,3.3,59078.0,79.2,57.3,28.5,20.8
