geoid,city,tot_pop,male,female,under_5,5_9,10_14,15_19,20_24,25_34,35_44,45_54,55_59,60_64,65_74,75_84,85_over,median_age,hispanic_latino,white,black,aian,asian,nhopi,other,median_income,insurance,private_insure,public_insure,no_insurance,year
1600000US0607274,Bodfish,1831,791,1040,51,16,0,55,55,97,160,374,170,365,262,195,31,59.5,156,1580,0,95,0,0,0,22237.0,1307.0,973.0,609.0,524.0,2012
1600000US0607316,Bolinas,1108,540,568,22,63,50,37,34,88,209,118,160,116,161,23,27,48.3,62,959,62,0,25,0,0,54635.0,921.0,726.0,336.0,187.0,2012
1600000US0607372,Bombay Beach,374,202,172,21,18,58,0,0,55,0,48,41,39,55,28,11,50.3,16,295,55,0,8,0,0,17961.0,294.0,59.0,286.0,80.0,2012
1600000US0607379,Bonadelle Ranchos-Madera Ranchos,7944,3830,4114,581,489,430,755,452,718,1073,1349,628,543,631,203,92,40.4,1792,5459,292,48,192,0,322,76181.0,6657.0,5471.0,1896.0,1284.0,2012
1600000US0607414,Bonita,12917,6422,6495,650,582,757,858,710,1155,1794,1678,1098,1077,1288,893,377,44.8,6026,5098,500,172,922,16,366,82214.0,11003.0,9694.0,3552.0,1860.0,2012
1600000US0607470,Bonny Doon,2743,1326,1417,81,72,138,143,258,320,289,565,278,291,208,56,44,47.2,175,2419,26,42,31,0,100,95395.0,2329.0,2058.0,536.0,414.0,2012
1600000US0607498,Bonsall,3859,1894,1965,140,292,214,238,180,348,558,525,242,405,427,185,105,43.8,741,2677,98,12,227,0,208,77061.0,3478.0,2909.0,1069.0,381.0,2012
1600000US0607512,Boonville,1115,633,482,46,74,26,96,127,166,132,170,88,23,52,46,69,36.7,678,425,0,12,0,0,0,36632.0,750.0,446.0,406.0,362.0,2012
1600000US0607525,Bootjack,959,443,516,97,0,90,36,0,80,64,206,30,57,170,121,8,51.1,9,828,0,0,47,0,150,52535.0,853.0,659.0,482.0,106.0,2012
1600000US0607568,Boron,2017,909,1108,101,166,147,182,124,142,199,268,65,278,194,113,38,42.0,261,1449,263,0,25,0,38,35417.0,1798.0,1061.0,1063.0,212.0,2012
1600000US0607578,Boronda,1562,765,797,154,200,155,52,146,191,219,244,53,36,39,73,0,30.5,1245,136,0,0,149,0,64,40586.0,1222.0,760.0,555.0,340.0,2012
1600000US0607596,Borrego Springs,2456,1509,947,74,81,85,125,49,311,108,369,237,166,491,195,165,55.7,929,1374,0,19,134,0,0,42143.0,1985.0,1464.0,1131.0,471.0,2012
1600000US0607624,Bostonia,14739,7240,7499,971,1272,802,1145,1240,2479,1597,2184,537,693,989,571,259,32.6,4906,8180,936,42,344,81,500,43784.0,11709.0,8263.0,5063.0,2822.0,2012
1600000US0607652,Boulder Creek,5188,2688,2500,211,248,265,292,165,453,869,977,624,359,588,124,13,46.2,284,4680,0,0,75,0,298,84297.0,4635.0,3887.0,1282.0,553.0,2012
1600000US0607694,Boulevard,249,129,120,69,0,31,0,0,72,0,30,27,0,20,0,0,32.7,4,73,0,172,0,0,0,48906.0,67.0,33.0,34.0,182.0,2012
1600000US0607750,Bowles,117,34,83,0,0,5,4,9,0,0,20,6,15,7,14,37,63.8,51,61,3,2,0,0,0,64688.0,65.0,54.0,14.0,0.0,2012
1600000US0607848,Boyes Hot Springs,7818,3743,4075,748,757,503,399,442,1582,968,956,373,339,372,306,73,30.2,4562,2860,7,71,252,0,132,49589.0,5771.0,3751.0,2630.0,2047.0,2012
1600000US0607946,Bradbury,812,397,415,27,19,58,71,48,39,82,202,78,37,60,77,14,48.1,140,453,9,0,203,0,14,117500.0,740.0,637.0,190.0,72.0,2012
1600000US0607974,Bradley,92,44,48,1,10,4,0,2,16,18,11,10,0,17,0,3,43.2,4,65,5,0,0,0,36,59375.0,81.0,59.0,42.0,7.0,2012
1600000US0608058,Brawley,24971,12429,12542,2382,1950,2255,2569,1899,3002,2888,3688,1142,635,1361,1012,188,29.3,20367,3700,611,7,147,0,213,40075.0,21074.0,12100.0,11115.0,3783.0,2012
1600000US0608100,Brea,39384,18820,20564,2006,2668,2311,2809,2836,5049,5911,5739,2500,2562,2723,1587,683,38.9,9817,21357,344,62,7080,34,1320,82055.0,34751.0,30321.0,7960.0,4609.0,2012
1600000US0608142,Brentwood,50764,25305,25459,3659,4599,4289,4457,2232,4964,8425,7458,2284,2316,3377,2092,612,36.3,13356,28174,2908,56,3896,60,4594,88306.0,46972.0,41446.0,10577.0,3757.0,2012
1600000US0608172,Bret Harte,5343,2689,2654,595,446,528,518,367,788,720,730,241,50,162,75,123,27.1,4790,465,0,0,52,0,72,31069.0,4205.0,1410.0,3023.0,1138.0,2012
1600000US0608240,Bridgeport,360,184,176,7,0,0,0,15,34,16,82,30,55,44,23,54,57.9,23,172,12,36,34,2,162,71250.0,310.0,275.0,173.0,19.0,2012
1600000US0608310,Brisbane,4266,2064,2202,240,119,203,206,258,604,596,775,540,257,323,79,66,43.1,1083,2030,10,13,953,0,354,79171.0,3787.0,3361.0,773.0,479.0,2012
1600000US0608338,Broadmoor,4498,2004,2494,329,168,208,240,206,580,531,648,415,508,209,346,110,44.8,824,1100,61,0,2154,0,630,84167.0,4000.0,3512.0,1008.0,461.0,2012
1600000US0608478,Brookdale,1887,1088,799,45,47,24,113,303,85,209,629,201,122,104,5,0,49.1,184,1662,0,0,41,0,0,82463.0,1642.0,1584.0,91.0,245.0,2012
1600000US0608530,Brooktrails,2997,1493,1504,261,145,101,218,40,359,415,437,306,258,292,131,34,42.8,164,2703,0,80,29,0,42,49938.0,2285.0,1788.0,966.0,712.0,2012
1600000US0608680,Buckhorn,2548,1194,1354,106,127,69,69,34,258,157,359,190,226,568,257,128,57.8,171,2230,0,108,0,0,53,53625.0,2204.0,1777.0,1340.0,344.0,2012
1600000US0608716,Buck Meadows,6,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,59.0,0,0,0,0,6,0,0,,0.0,0.0,0.0,6.0,2012
1600000US0608744,Bucks Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,2012
1600000US0608758,Buellton,4786,2618,2168,250,368,226,231,421,545,748,742,388,412,212,202,41,40.2,1822,2512,24,120,202,0,200,68480.0,3928.0,3379.0,928.0,858.0,2012
1600000US0608786,Buena Park,80781,39064,41717,5255,5133,6017,6787,6467,10766,11514,11989,4420,3510,4817,2932,1174,35.0,30379,21992,3536,281,22284,633,3231,64205.0,64208.0,47286.0,22334.0,16218.0,2012
1600000US0608828,Buena Vista,305,103,202,13,24,18,14,19,37,55,32,38,18,37,0,0,42.5,37,210,0,9,0,0,98,49167.0,295.0,141.0,200.0,10.0,2012
1600000US0608954,Burbank,103420,50151,53269,5368,5480,6302,6232,5665,16747,16727,15809,5834,5215,7025,4851,2165,38.7,26660,59836,1564,88,12018,25,6006,67693.0,88484.0,73226.0,22416.0,14590.0,2012
1600000US0608968,Burbank,5789,3211,2578,270,130,397,304,366,1304,1142,802,418,317,282,53,4,36.4,2810,1984,133,0,728,0,268,59560.0,4705.0,3991.0,983.0,1075.0,2012
1600000US0609066,Burlingame,28916,14110,14806,2062,1851,1581,1201,1231,3763,5039,4974,1710,1447,1774,1502,781,40.6,4040,17626,360,63,5699,83,2022,77661.0,26079.0,23921.0,5037.0,2293.0,2012
1600000US0609122,Burney,2737,1339,1398,114,184,115,173,161,165,309,495,225,234,413,103,46,49.5,78,2441,0,102,10,9,194,38337.0,2284.0,1233.0,1556.0,453.0,2012
1600000US0609150,Burnt Ranch,293,144,149,29,0,29,19,11,7,19,48,46,22,31,25,7,50.8,11,272,0,1,0,0,18,50938.0,260.0,150.0,173.0,33.0,2012
1600000US0609310,Butte Creek Canyon,982,556,426,13,28,0,66,98,0,36,275,96,221,74,50,25,54.5,96,884,0,0,0,2,0,53750.0,887.0,781.0,229.0,95.0,2012
1600000US0609318,Butte Meadows,16,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,53.1,0,16,0,0,0,0,0,,16.0,16.0,0.0,0.0,2012
1600000US0609324,Butte Valley,771,302,469,29,93,67,54,0,66,96,137,89,86,23,18,13,39.6,34,728,4,5,0,0,0,78846.0,703.0,490.0,267.0,55.0,2012
1600000US0609332,Buttonwillow,1349,692,657,100,162,192,126,64,178,196,162,26,62,53,22,6,27.4,988,248,70,0,0,0,86,37500.0,990.0,584.0,480.0,355.0,2012
1600000US0609346,Byron,1149,578,571,64,163,35,181,0,111,112,163,106,24,84,106,0,35.5,213,802,53,0,5,0,80,66542.0,941.0,872.0,256.0,109.0,2012
1600000US0609353,Bystrom,4070,2094,1976,433,417,345,283,377,557,497,523,176,154,167,82,59,29.1,3193,608,8,0,177,0,168,30953.0,2915.0,1419.0,1727.0,1155.0,2012
1600000US0609360,Cabazon,2121,1094,1027,218,65,315,176,12,351,170,356,209,122,55,60,12,32.6,913,1062,29,62,0,36,38,33986.0,1395.0,506.0,937.0,703.0,2012
1600000US0609598,Calabasas,23352,11177,12175,979,1864,1985,1958,805,1856,3162,4423,1902,1341,1858,945,274,42.6,1614,17849,865,57,1931,0,2072,119624.0,21934.0,20321.0,3866.0,1409.0,2012
1600000US0609710,Calexico,38193,17806,20387,3066,3294,3429,3501,3082,4327,4761,4366,2393,1782,2064,1456,672,30.8,36881,749,52,7,484,20,0,37431.0,27891.0,15118.0,14496.0,10264.0,2012
1600000US0609780,California City,13361,6572,6789,1013,1026,924,966,972,1860,1404,2177,752,753,1001,454,59,34.4,3332,7265,1990,0,376,0,736,50344.0,10859.0,7007.0,5677.0,1739.0,2012
1600000US0609822,California Hot Springs,97,39,58,0,8,4,0,4,9,8,0,0,4,41,5,14,69.2,12,84,0,0,0,0,2,38375.0,97.0,52.0,62.0,0.0,2012
1600000US0609834,California Pines,385,260,125,0,41,79,45,0,20,32,134,0,0,34,0,0,42.9,74,271,0,0,0,0,80,70357.0,385.0,337.0,82.0,0.0,2012
1600000US0609864,Calimesa,7932,3907,4025,284,277,623,561,355,624,753,980,755,464,1044,1002,210,52.0,1714,5963,22,0,51,0,364,44817.0,6624.0,4644.0,3271.0,1302.0,2012
1600000US0609878,Calipatria,7532,4360,3172,541,403,578,605,773,1148,1249,746,553,232,349,205,150,31.9,6031,721,565,86,61,10,110,34961.0,5084.0,2853.0,2436.0,907.0,2012
1600000US0609892,Calistoga,5156,2674,2482,466,184,243,124,248,632,689,757,331,402,624,274,182,44.9,2220,2832,45,0,13,12,34,51967.0,3800.0,3060.0,1457.0,1316.0,2012
1600000US0609948,Callender,1633,935,698,104,78,90,135,224,211,179,320,44,108,106,34,0,31.0,591,887,28,0,77,0,100,76793.0,1251.0,951.0,342.0,382.0,2012
1600000US0609990,Calpella,580,247,333,54,39,53,87,48,50,21,88,46,70,24,0,0,30.0,122,394,45,0,19,0,0,51776.0,549.0,409.0,150.0,31.0,2012
1600000US0610004,Calpine,225,96,129,27,11,0,0,0,0,26,74,54,0,27,6,0,54.7,0,225,0,0,0,0,0,17083.0,225.0,97.0,161.0,0.0,2012
1600000US0610032,Calwa,1350,625,725,181,91,149,120,181,159,125,185,79,34,25,21,0,22.3,1173,70,0,0,77,0,60,17228.0,979.0,136.0,893.0,371.0,2012
1600000US0610042,Camanche North Shore,884,473,411,62,14,6,87,0,101,27,320,105,45,47,12,58,48.4,105,748,0,0,0,0,62,55078.0,753.0,531.0,303.0,131.0,2012
1600000US0610044,Camanche Village,754,434,320,13,63,82,57,0,90,174,103,40,41,65,0,26,38.4,0,724,0,0,0,0,60,86858.0,754.0,684.0,128.0,0.0,2012
1600000US0610046,Camarillo,64944,31630,33314,3846,4289,4554,4136,3753,7470,8648,9589,4195,3339,5175,3865,2085,40.4,16473,39038,1201,73,6032,160,3793,83892.0,57651.0,50662.0,16201.0,6546.0,2012
1600000US0610074,Cambria,6204,2976,3228,182,371,238,270,128,279,596,596,418,921,1288,621,296,60.1,1187,4871,2,0,83,0,122,69500.0,5657.0,4595.0,2880.0,547.0,2012
1600000US0610088,Cambrian Park,3697,1841,1856,126,450,222,144,145,424,681,557,261,120,280,213,74,40.5,755,2506,14,257,87,11,134,95189.0,3440.0,3177.0,669.0,250.0,2012
1600000US0610256,Cameron Park,17586,8584,9002,962,1209,1584,1053,588,1884,2287,2976,1116,1072,1565,839,451,41.2,2670,14006,65,18,393,0,868,76570.0,16197.0,14310.0,4524.0,1369.0,2012
1600000US0610270,Camino,1931,1031,900,73,137,84,115,133,184,210,307,163,160,171,183,11,46.9,26,1871,8,0,7,0,38,64219.0,1775.0,1496.0,648.0,156.0,2012
1600000US0610301,Camino Tassajara,1908,932,976,122,283,122,196,10,122,398,385,135,71,64,0,0,37.7,135,738,19,0,938,0,156,152396.0,1752.0,1737.0,41.0,156.0,2012
1600000US0610345,Campbell,39482,19378,20104,2542,2294,1820,2094,2437,7079,6220,6535,2321,1705,2267,1463,705,37.4,6885,23792,469,50,6207,60,3903,84692.0,35007.0,30794.0,7916.0,4303.0,2012
1600000US0610494,Camp Nelson,124,63,61,0,0,0,0,0,31,0,14,26,32,21,0,0,57.2,0,124,0,0,0,0,0,85227.0,80.0,80.0,11.0,44.0,2012
1600000US0610508,Campo,2753,1530,1223,277,123,73,357,229,483,142,294,321,174,204,72,4,31.5,779,1770,76,50,67,0,22,53942.0,2019.0,1409.0,850.0,463.0,2012
1600000US0610559,Camp Pendleton North,7043,4461,2582,1238,472,287,631,2978,1065,285,44,12,0,26,5,0,21.3,1622,3866,779,98,256,125,590,40516.0,3564.0,3428.0,171.0,0.0,2012
1600000US0610561,Camp Pendleton South,12355,7061,5294,3053,1533,487,614,2124,3498,766,280,0,0,0,0,0,21.1,2842,7447,759,219,340,0,1496,55612.0,8428.0,8367.0,232.0,112.0,2012
1600000US0610676,Camptonville,116,59,57,2,3,7,14,3,0,10,15,11,19,21,11,0,56.4,2,110,0,0,0,0,8,21667.0,95.0,33.0,67.0,21.0,2012
1600000US0610732,Canby,479,195,284,9,25,27,42,30,87,92,59,7,29,32,16,24,36.4,103,273,52,35,0,0,32,39531.0,295.0,151.0,144.0,89.0,2012
1600000US0610816,Cantua Creek,345,157,188,64,45,0,31,28,59,8,42,32,8,28,0,0,27.5,345,0,0,0,0,0,0,18542.0,216.0,11.0,205.0,129.0,2012
1600000US0610914,Canyondam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,2012
1600000US0610928,Canyon Lake,10670,5219,5451,620,817,754,589,534,1135,1348,1908,732,647,772,607,207,41.6,1572,8776,95,37,132,19,78,74133.0,9228.0,8131.0,2272.0,1442.0,2012
1600000US0611040,Capitola,9914,5051,4863,824,334,500,493,774,1315,1292,1381,910,702,525,611,253,40.9,2034,6844,278,99,284,0,750,54129.0,8139.0,6704.0,2459.0,1612.0,2012
1600000US0611166,Caribou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,2012
1600000US0611194,Carlsbad,105097,52188,52909,6250,7085,6757,5978,5104,13009,15943,17115,7380,5776,7348,5105,2247,40.3,14340,79037,1022,88,7787,38,5466,83875.0,92929.0,83850.0,20476.0,10718.0,2012
1600000US0611250,Carmel-by-the-Sea,3757,1886,1871,58,169,31,187,214,242,278,589,265,479,729,346,170,56.3,420,2919,0,0,418,0,0,72582.0,3177.0,3018.0,1282.0,571.0,2012
1600000US0611324,Carmel Valley Village,4552,2150,2402,180,105,361,456,177,217,448,839,502,517,375,261,114,48.6,274,3952,0,0,104,0,444,82097.0,4039.0,3618.0,1134.0,490.0,2012
1600000US0611376,Carmet,14,8,6,0,0,0,0,0,0,6,0,0,0,8,0,0,70.1,0,14,0,0,0,0,0,,14.0,14.0,8.0,0.0,2012
1600000US0611390,Carmichael,61267,29810,31457,3750,3099,3123,4126,3591,7220,7969,9546,4314,4091,5046,3311,2081,42.0,6984,45491,3219,500,2709,236,4193,53947.0,52850.0,41885.0,19870.0,7888.0,2012
1600000US0611418,Carnelian Bay,328,187,141,0,14,24,11,6,0,48,57,66,5,56,20,21,55.3,0,328,0,0,0,0,0,50875.0,328.0,280.0,102.0,0.0,2012
1600000US0611446,Carpinteria,13100,6503,6597,708,668,753,933,995,1708,1731,1989,869,800,877,727,342,40.2,6132,6340,9,34,323,0,507,70113.0,10113.0,8094.0,3449.0,2983.0,2012
1600000US0611481,Carrick,120,61,59,0,0,0,0,0,0,0,0,44,14,0,29,33,75.1,0,120,0,0,0,0,0,24844.0,107.0,45.0,94.0,13.0,2012
1600000US0611530,Carson,91937,44571,47366,5071,5154,6698,6908,7411,11963,12264,13941,5064,4929,7432,4018,1084,37.1,36340,6518,17700,231,23515,2584,10020,71653.0,76668.0,58793.0,25588.0,15173.0,2012
1600000US0611600,Cartago,39,34,5,0,0,0,0,0,25,0,0,0,0,5,9,0,31.8,0,39,0,0,0,0,0,43300.0,39.0,30.0,14.0,0.0,2012
1600000US0611614,Caruthers,3361,1637,1724,340,376,231,480,486,244,358,441,189,51,143,11,11,22.6,2586,480,57,80,57,0,202,46094.0,2494.0,1333.0,1338.0,867.0,2012
1600000US0611656,Casa Conejo,3381,1811,1570,138,186,335,277,237,462,616,437,180,103,315,84,11,35.9,1137,2123,32,0,73,0,32,82344.0,2492.0,1894.0,934.0,889.0,2012
1600000US0611691,Casa de Oro-Mount Helix,18736,8900,9836,739,907,1424,1329,1212,1218,1993,3425,1589,1430,1616,1256,598,46.9,3076,12945,1468,30,604,89,1048,80000.0,16875.0,14252.0,5505.0,1676.0,2012
1600000US0611754,Casmalia,238,66,172,65,0,33,41,0,0,31,11,35,0,10,12,0,16.7,205,33,0,0,0,0,0,41613.0,205.0,54.0,151.0,33.0,2012
1600000US0611768,Caspar,697,363,334,0,80,15,19,17,179,104,59,89,30,14,66,25,37.9,2,623,0,59,0,0,26,72885.0,609.0,505.0,209.0,88.0,2012
1600000US0611782,Cassel,402,215,187,29,28,56,5,0,30,28,14,91,53,49,0,19,56.4,12,390,0,0,0,0,0,59583.0,402.0,278.0,163.0,0.0,2012
1600000US0611796,Castaic,18610,9441,9169,640,1435,1979,2183,1221,1537,3204,3673,1027,682,682,213,134,36.4,4775,10773,846,11,1521,35,1285,106538.0,16876.0,15973.0,1821.0,1734.0,2012
1600000US0611915,Castle Hill,1218,606,612,32,62,113,90,54,42,127,183,66,185,170,65,29,51.2,115,968,0,0,60,0,126,118790.0,1139.0,1065.0,272.0,79.0,2012
1600000US0611964,Castro Valley,60981,29767,31214,3759,3227,4204,4515,3370,6934,7813,10745,4358,4057,3767,2657,1575,41.3,9805,30504,3444,168,14184,413,4708,82656.0,54630.0,48586.0,12695.0,5543.0,2012
1600000US0611978,Castroville,6103,3122,2981,582,385,504,686,708,915,732,816,163,202,293,69,48,26.8,5664,184,0,25,172,23,70,52771.0,4408.0,2546.0,2280.0,1695.0,2012
1600000US0612048,Cathedral City,51507,25662,25845,3841,3687,4005,4343,3607,6258,6464,7322,2487,2237,4068,2448,740,35.0,30825,16693,998,150,2313,32,988,44763.0,37311.0,24356.0,18065.0,14178.0,2012
1600000US0612062,Catheys Valley,802,375,427,17,15,0,40,22,63,14,188,153,34,144,99,13,55.4,92,644,0,0,0,0,132,51094.0,791.0,505.0,534.0,11.0,2012
1600000US0612132,Cayucos,2431,1164,1267,132,95,10,34,147,97,178,385,277,380,328,252,116,57.2,181,2127,0,18,80,0,50,62961.0,2137.0,1776.0,893.0,294.0,2012
1600000US0612146,Cazadero,294,137,157,13,27,6,20,9,31,39,38,45,28,20,18,0,46.5,16,253,0,0,0,0,50,47969.0,226.0,193.0,60.0,68.0,2012
1600000US0612300,Cedar Ridge,968,493,475,0,26,59,37,43,64,92,194,147,105,139,59,3,54.0,40,897,0,8,14,0,18,61645.0,861.0,676.0,336.0,107.0,2012
1600000US0612314,Cedar Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,2012
1600000US0612328,Cedarville,508,275,233,26,36,15,30,2,45,31,78,52,60,63,46,24,53.7,106,395,0,5,2,0,0,37000.0,435.0,297.0,244.0,63.0,2012
1600000US0612412,Centerville,223,87,136,0,9,9,0,0,16,56,0,40,42,20,15,16,56.7,0,206,13,4,0,0,0,83036.0,207.0,160.0,87.0,16.0,2012
1600000US0612524,Ceres,45086,21984,23102,3820,3629,3892,3831,3340,6964,5666,5946,2093,2031,2187,1234,453,30.7,24867,14843,725,327,2870,256,2336,47510.0,36577.0,23603.0,16235.0,8430.0,2012
1600000US0612552,Cerritos,49296,23579,25717,1879,2563,3605,3880,3040,4822,6188,7628,3753,3699,5148,2126,965,43.3,5791,7877,3656,191,29975,162,3026,87788.0,42840.0,36843.0,11072.0,6373.0,2012
1600000US0612594,Chalfant,627,313,314,0,0,45,0,0,58,83,63,132,83,152,11,0,58.5,0,627,0,0,0,0,0,61983.0,577.0,524.0,195.0,50.0,2012
1600000US0612612,Challenge-Brownsville,1449,690,759,59,191,27,164,55,138,192,156,143,88,184,25,27,38.1,125,1228,71,0,0,0,50,52500.0,1168.0,602.0,761.0,281.0,2012
1600000US0612669,Channel Islands Beach,3290,1805,1485,111,201,154,302,156,526,454,506,329,179,277,84,11,40.7,314,2751,0,0,115,0,183,71900.0,2754.0,2422.0,697.0,420.0,2012
1600000US0612734,Charter Oak,9614,4717,4897,628,859,822,743,567,1304,1330,1288,485,505,628,347,108,34.0,4816,3857,257,0,519,15,300,68597.0,8364.0,6575.0,2475.0,1195.0,2012
1600000US0612818,Cherokee,122,88,34,0,12,26,13,0,5,17,26,0,12,0,11,0,40.0,0,108,0,0,14,0,0,82708.0,66.0,37.0,40.0,56.0,2012
1600000US0612860,Cherokee Strip,289,126,163,31,43,16,27,3,38,41,6,8,30,29,17,0,29.4,212,77,0,0,0,0,0,29688.0,251.0,45.0,236.0,38.0,2012
1600000US0612902,Cherryland,14499,6837,7662,1802,1070,822,883,915,2545,1751,2183,672,777,562,331,186,31.2,8122,2858,1087,30,1084,654,1282,49663.0,11564.0,7246.0,5317.0,2708.0,2012
1600000US0612916,Cherry Valley,5311,2590,2721,81,84,186,310,193,393,411,710,571,520,1003,609,240,57.7,1001,4081,34,15,122,0,116,52000.0,4363.0,3201.0,2353.0,890.0,2012
1600000US0612930,Chester,2155,1077,1078,87,94,581,83,0,147,359,159,172,44,273,121,35,35.5,62,2087,6,0,0,0,0,29904.0,1610.0,1192.0,868.0,519.0,2012
1600000US0613014,Chico,86391,42330,44061,5214,4405,4164,8437,15224,13036,8874,9621,4743,3823,4117,3229,1504,28.8,13617,62984,1457,506,3973,158,7316,42896.0,70789.0,55356.0,23495.0,14884.0,2012
1600000US0613077,Chilcoot-Vinton,527,254,273,0,39,0,57,90,39,0,193,56,53,0,0,0,45.6,0,527,0,0,0,0,0,48024.0,343.0,265.0,156.0,184.0,2012
1600000US0613157,China Lake Acres,1211,561,650,99,32,12,15,168,86,46,313,68,102,237,33,0,49.2,65,986,0,0,0,78,146,30833.0,1077.0,784.0,554.0,134.0,2012
1600000US0613182,Chinese Camp,113,54,59,2,14,14,1,0,14,24,26,4,7,2,5,0,42.0,10,90,0,0,0,0,26,47083.0,97.0,87.0,28.0,16.0,2012
1600000US0613210,Chino,78713,40394,38319,5077,5135,5236,6055,6115,12960,12337,11662,4300,3501,3912,1760,663,34.1,41357,21832,3890,392,8647,142,4608,71671.0,58595.0,48200.0,13828.0,12118.0,2012
1600000US0613214,Chino Hills,75211,37277,37934,4579,4736,6469,6262,5792,8526,10869,13629,5390,3771,3086,1603,499,36.1,22656,25367,3107,237,21068,109,5058,97065.0,65395.0,58779.0,10350.0,9728.0,2012
1600000US0613294,Chowchilla,18427,5701,12726,830,834,1120,936,1419,3547,3090,3289,946,698,1038,517,163,36.3,7035,7909,2122,266,374,402,638,41373.0,9761.0,5770.0,4818.0,2035.0,2012
1600000US0613364,Chualar,1148,596,552,53,142,104,104,103,201,127,186,26,34,32,28,8,28.3,1056,57,10,8,14,0,6,58214.0,881.0,589.0,321.0,267.0,2012
1600000US0613392,Chula Vista,242499,117107,125392,17351,18804,19026,19917,18087,32662,34728,34877,12638,9742,13404,7861,3402,33.8,138182,51387,10916,700,33933,940,12731,65364.0,195764.0,156304.0,58194.0,42007.0,2012
1600000US0613560,Citrus,11157,5696,5461,794,694,669,1125,1070,1566,1635,1545,629,557,504,261,108,32.9,7435,2490,159,19,796,0,513,69063.0,7944.0,5823.0,2590.0,3213.0,2012
1600000US0613588,Citrus Heights,84104,40376,43728,4806,5374,5438,5560,6412,12114,11023,12282,5414,4205,6131,3741,1604,37.0,14215,62200,2245,620,1968,537,4478,54236.0,71335.0,56952.0,25497.0,12239.0,2012
1600000US0613756,Claremont,35043,16659,18384,1437,1938,2080,4617,3390,2908,3889,4620,2191,2375,2759,1841,998,38.7,7127,20194,1819,79,4715,30,2129,80754.0,32023.0,27398.0,7865.0,2643.0,2012
1600000US0613784,Clarksburg,422,203,219,6,29,6,7,0,71,23,40,82,31,46,50,31,57.3,61,302,0,0,0,59,0,42474.0,347.0,347.0,113.0,75.0,2012
1600000US0613854,Clay,1147,556,591,12,66,104,84,72,84,124,157,183,103,124,30,4,47.2,277,755,0,0,78,0,60,104063.0,1031.0,923.0,269.0,116.0,2012
1600000US0613882,Clayton,11020,5558,5462,480,671,808,843,502,875,1338,2169,736,859,1103,430,206,45.0,1096,8669,224,31,658,0,649,123686.0,10603.0,9866.0,2132.0,408.0,2012
1600000US0613910,Clear Creek,169,70,99,2,3,7,22,8,3,16,41,25,15,17,4,6,51.6,20,134,0,10,0,0,10,53750.0,140.0,96.0,66.0,22.0,2012
1600000US0613945,Clearlake,15127,7607,7520,997,937,825,1205,1067,1744,1818,2326,948,1218,1101,655,286,38.3,3503,9664,840,227,131,29,1359,25916.0,11579.0,4798.0,8392.0,3463.0,2012
1600000US0613966,Clearlake Oaks,1462,707,755,71,0,15,51,50,53,121,360,163,80,260,197,41,56.0,20,1300,80,0,0,0,105,29057.0,1282.0,952.0,809.0,180.0,2012
1600000US0613985,Clearlake Riviera,2908,1385,1523,193,256,169,73,282,361,431,346,279,225,148,106,39,36.4,416,2371,73,0,0,0,96,48417.0,2153.0,1599.0,999.0,755.0,2012
1600000US0614008,Cleone,688,330,358,36,69,10,10,11,47,94,112,43,115,85,51,5,52.8,165,523,0,0,0,0,0,56875.0,599.0,337.0,341.0,89.0,2012
1600000US0614106,Clio,39,18,21,0,0,0,0,0,0,16,18,0,0,0,5,0,51.2,16,23,0,0,0,0,0,25486.0,23.0,23.0,5.0,16.0,2012
1600000US0614148,Clipper Mills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,2012
1600000US0614190,Cloverdale,8515,4151,4364,733,507,675,356,350,1287,1030,1310,661,419,612,382,193,37.5,2745,5167,41,18,386,0,316,56978.0,7455.0,5912.0,2585.0,1028.0,2012
1600000US0614218,Clovis,95431,45671,49760,6526,7354,7945,7984,7126,12327,12467,13338,5319,4890,5452,3291,1412,33.5,24694,54891,2743,887,9494,173,4809,63983.0,82747.0,67940.0,24426.0,12213.0,2012
1600000US0614232,Clyde,500,248,252,43,32,5,64,8,77,64,91,70,36,10,0,0,42.2,210,248,0,0,26,0,32,117500.0,487.0,420.0,84.0,13.0,2012
1600000US0614260,Coachella,40658,20609,20049,3961,4241,5077,4156,2878,6567,5777,4003,1329,916,1091,508,154,25.0,39503,551,445,34,25,14,158,41611.0,25997.0,13435.0,13288.0,14661.0,2012
1600000US0614274,Coalinga,15854,8898,6956,1244,1421,1005,1204,1702,2263,2354,2118,704,694,669,353,123,31.0,8741,5266,1077,215,339,16,396,46712.0,11566.0,7805.0,4713.0,1831.0,2012
