city,enrollment,vaccinated,s_year,vac_pct,geoid
Buena Park,2562.0,2493.0,2018,97.30679156908664,1600000US0608786
Burbank,7846.0,7540.0,2018,96.09992352791231,1600000US0608954
Burbank,7846.0,7540.0,2018,96.09992352791231,1600000US0608968
Burlingame,1914.0,1864.0,2018,97.3876698014629,1600000US0609066
Burney,147.0,140.0,2018,95.23809523809523,1600000US0609122
Buttonwillow,102.0,96.0,2018,94.11764705882352,1600000US0609332
Byron,307.0,252.0,2018,82.08469055374593,1600000US0609346
Cabazon,105.0,100.0,2018,95.23809523809523,1600000US0609360
Calabasas,1420.0,1342.0,2018,94.50704225352112,1600000US0609598
Calexico,2147.0,2099.0,2018,97.76432231020028,1600000US0609710
California City,387.0,379.0,2018,97.9328165374677,1600000US0609780
Calimesa,467.0,455.0,2018,97.4304068522484,1600000US0609864
Calipatria,213.0,207.0,2018,97.1830985915493,1600000US0609878
Calistoga,204.0,197.0,2018,96.56862745098039,1600000US0609892
Calpella,27.0,14.0,2018,51.85185185185185,1600000US0609990
Camarillo,3120.0,2965.0,2018,95.03205128205127,1600000US0610046
Cambria,137.0,128.0,2018,93.43065693430657,1600000US0610074
Cameron Park,652.0,480.0,2018,73.61963190184049,1600000US0610256
Camino,89.0,85.0,2018,95.50561797752809,1600000US0610270
Campbell,2229.0,2143.0,2018,96.14176760879319,1600000US0610345
Campo,204.0,193.0,2018,94.6078431372549,1600000US0610508
Cantua Creek,41.0,38.0,2018,92.6829268292683,1600000US0610816
Canyon Lake,79.0,74.0,2018,93.67088607594937,1600000US0610928
Capitola,348.0,336.0,2018,96.55172413793103,1600000US0611040
Carlsbad,4756.0,4596.0,2018,96.63582842724979,1600000US0611194
Carmel Valley Village,617.0,593.0,2018,96.11021069692059,1600000US0611324
Carmichael,3927.0,3346.0,2018,85.20499108734403,1600000US0611390
Carpinteria,595.0,558.0,2018,93.78151260504201,1600000US0611446
Carson,3160.0,3034.0,2018,96.0126582278481,1600000US0611530
Caruthers,361.0,350.0,2018,96.95290858725761,1600000US0611614
Castaic,705.0,676.0,2018,95.88652482269504,1600000US0611796
Castro Valley,2537.0,2437.0,2018,96.05833661805282,1600000US0611964
Castroville,750.0,730.0,2018,97.33333333333334,1600000US0611978
Cathedral City,1614.0,1578.0,2018,97.76951672862454,1600000US0612048
Catheys Valley,21.0,18.0,2018,85.71428571428571,1600000US0612062
Cayucos,21.0,19.0,2018,90.47619047619048,1600000US0612132
Ceres,2771.0,2689.0,2018,97.04077950198484,1600000US0612524
Cerritos,2573.0,2522.0,2018,98.01787796346677,1600000US0612552
Cherry Valley,102.0,100.0,2018,98.0392156862745,1600000US0612916
Chester,73.0,69.0,2018,94.52054794520548,1600000US0612930
Chico,3790.0,3566.0,2018,94.08970976253298,1600000US0613014
Chino,3414.0,3314.0,2018,97.07088459285296,1600000US0613210
Chino Hills,3221.0,3144.0,2018,97.60943806271344,1600000US0613214
Chowchilla,695.0,677.0,2018,97.41007194244604,1600000US0613294
Chualar,133.0,125.0,2018,93.98496240601504,1600000US0613364
Chula Vista,12224.0,11885.0,2018,97.2267670157068,1600000US0613392
Citrus Heights,2014.0,1899.0,2018,94.28997020854023,1600000US0613588
Claremont,2286.0,2215.0,2018,96.8941382327209,1600000US0613756
Clarksburg,160.0,157.0,2018,98.125,1600000US0613784
Clayton,536.0,526.0,2018,98.13432835820896,1600000US0613882
Clearlake,599.0,574.0,2018,95.82637729549248,1600000US0613945
Clearlake Oaks,23.0,21.0,2018,91.30434782608695,1600000US0613966
Cloverdale,293.0,285.0,2018,97.26962457337885,1600000US0614190
Clovis,6800.0,6623.0,2018,97.39705882352942,1600000US0614218
