,county,vac_info_type,pct
0,Alameda,7thGradeData,97.48680555555555
1,Alameda,ChildCareData,97.03837696335086
2,Alameda,KindergartenData,96.38424242424243
3,Amador,7thGradeData,94.3775
4,Amador,ChildCareData,88.97416666666668
5,Amador,KindergartenData,91.07833333333332
6,Berkeley City,ChildCareData,92.38442307692308
7,Butte,7thGradeData,94.83218749999999
8,Butte,ChildCareData,91.52041666666668
9,Butte,KindergartenData,89.87659574468084
10,Calaveras,7thGradeData,88.98750000000001
11,Calaveras,ChildCareData,91.2
12,Calaveras,KindergartenData,87.77909090909091
13,Colusa,7thGradeData,99.814
14,Colusa,ChildCareData,99.72888888888889
15,Colusa,KindergartenData,99.755
16,Contra Costa,7thGradeData,97.16228260869568
17,Contra Costa,ChildCareData,95.74373376623376
18,Contra Costa,KindergartenData,95.65757425742575
19,Del Norte,7thGradeData,90.80799999999999
20,Del Norte,ChildCareData,95.98111111111112
21,Del Norte,KindergartenData,87.6111111111111
22,El Dorado,7thGradeData,93.48916666666666
23,El Dorado,ChildCareData,92.39118644067798
24,El Dorado,KindergartenData,88.72057142857142
25,Fresno,7thGradeData,97.31130434782608
26,Fresno,ChildCareData,96.16396363636368
27,Fresno,KindergartenData,96.405576923077
28,Glenn,7thGradeData,99.655
29,Glenn,ChildCareData,99.07555555555557
30,Glenn,KindergartenData,95.77333333333333
31,Humboldt,7thGradeData,86.93833333333333
32,Humboldt,ChildCareData,85.22961538461537
33,Humboldt,KindergartenData,80.70756756756757
34,Imperial,7thGradeData,98.53
35,Imperial,ChildCareData,97.3015909090909
36,Imperial,KindergartenData,95.47727272727273
37,Inyo,7thGradeData,96.89
38,Inyo,ChildCareData,94.208
39,Inyo,KindergartenData,99.8325
40,Kern,7thGradeData,97.22623376623376
41,Kern,ChildCareData,93.84631284916202
42,Kern,KindergartenData,95.49306748466263
43,Kings,7thGradeData,98.81999999999998
44,Kings,ChildCareData,93.6088372093023
45,Kings,KindergartenData,95.84735294117645
46,Lake,7thGradeData,97.62875
47,Lake,ChildCareData,91.47588235294118
48,Lake,KindergartenData,91.5153846153846
49,Lassen,7thGradeData,83.08399999999999
50,Lassen,ChildCareData,89.03499999999998
51,Lassen,KindergartenData,80.832
52,Los Angeles,7thGradeData,96.72924146649805
