city,enrollment,vaccinated,s_year,vac_pct,geoid
Brisbane,206.0,196.0,2012,95.14563106796116,1600000US0608310
Buellton,292.0,280.0,2012,95.8904109589041,1600000US0608758
Buena Park,5460.0,5289.0,2012,96.86813186813187,1600000US0608786
Burbank,25422.0,24762.0,2012,97.40382345999528,1600000US0608954
Burbank,25422.0,24762.0,2012,97.40382345999528,1600000US0608968
Burlingame,3728.0,3630.0,2012,97.37124463519314,1600000US0609066
Burney,356.0,329.0,2012,92.41573033707866,1600000US0609122
Burnt Ranch,24.0,12.0,2012,50.0,1600000US0609150
Buttonwillow,160.0,158.0,2012,98.75,1600000US0609332
Byron,658.0,633.0,2012,96.20060790273556,1600000US0609346
Cabazon,42.0,40.0,2012,95.23809523809523,1600000US0609360
Calabasas,4606.0,4363.0,2012,94.72427268779853,1600000US0609598
Calexico,6421.0,6378.0,2012,99.33032237969164,1600000US0609710
California City,1076.0,1016.0,2012,94.42379182156134,1600000US0609780
Calimesa,886.0,865.0,2012,97.62979683972912,1600000US0609864
Calipatria,666.0,660.0,2012,99.09909909909909,1600000US0609878
Calistoga,515.0,499.0,2012,96.89320388349515,1600000US0609892
Calpella,85.0,23.0,2012,27.058823529411764,1600000US0609990
Camarillo,7273.0,6940.0,2012,95.42142169668637,1600000US0610046
Cambria,437.0,413.0,2012,94.50800915331807,1600000US0610074
Cameron Park,758.0,691.0,2012,91.16094986807389,1600000US0610256
Camino,199.0,182.0,2012,91.4572864321608,1600000US0610270
Camp Pendleton North,218.0,213.0,2012,97.70642201834863,1600000US0610559
Campbell,4014.0,3856.0,2012,96.06377678126557,1600000US0610345
Campo,339.0,327.0,2012,96.46017699115043,1600000US0610508
Cantua Creek,125.0,125.0,2012,100.0,1600000US0610816
Capitola,456.0,429.0,2012,94.07894736842105,1600000US0611040
Carlsbad,8869.0,8414.0,2012,94.86977111286504,1600000US0611194
Carmel Valley Village,1777.0,1636.0,2012,92.06527855936972,1600000US0611324
Carmichael,9111.0,8149.0,2012,89.44133465042256,1600000US0611390
Carpinteria,1802.0,1731.0,2012,96.05993340732519,1600000US0611446
Carson,8720.0,8351.0,2012,95.7683486238532,1600000US0611530
Caruthers,980.0,970.0,2012,98.9795918367347,1600000US0611614
Caspar,32.0,22.0,2012,68.75,1600000US0611768
Castaic,1278.0,1216.0,2012,95.14866979655712,1600000US0611796
Castro Valley,6081.0,5957.0,2012,97.96086170037823,1600000US0611964
Castroville,2295.0,2291.0,2012,99.82570806100219,1600000US0611978
Cathedral City,5850.0,5767.0,2012,98.58119658119658,1600000US0612048
Cayucos,76.0,72.0,2012,94.73684210526315,1600000US0612132
Cedarville,86.0,65.0,2012,75.5813953488372,1600000US0612328
Ceres,6754.0,6574.0,2012,97.3349126443589,1600000US0612524
Cerritos,9476.0,9379.0,2012,98.97636133389615,1600000US0612552
Cherry Valley,97.0,97.0,2012,100.0,1600000US0612916
Chester,242.0,229.0,2012,94.62809917355372,1600000US0612930
Chico,9329.0,8670.0,2012,92.93600600278701,1600000US0613014
Chino,10027.0,9846.0,2012,98.19487384063031,1600000US0613210
Chino Hills,9682.0,9535.0,2012,98.48171865317083,1600000US0613214
Chowchilla,2090.0,2070.0,2012,99.04306220095694,1600000US0613294
Chualar,159.0,155.0,2012,97.48427672955975,1600000US0613364
Chula Vista,34284.0,33746.0,2012,98.43075487107689,1600000US0613392
Citrus Heights,4349.0,4075.0,2012,93.69970108070821,1600000US0613588
Claremont,5089.0,4940.0,2012,97.07211632933779,1600000US0613756
Clarksburg,488.0,488.0,2012,100.0,1600000US0613784
Clayton,678.0,666.0,2012,98.23008849557522,1600000US0613882
Clearlake,640.0,601.0,2012,93.90625,1600000US0613945
Clearlake Oaks,105.0,89.0,2012,84.76190476190476,1600000US0613966
Cloverdale,865.0,857.0,2012,99.07514450867052,1600000US0614190
Clovis,15692.0,15257.0,2012,97.22788682131022,1600000US0614218
Coachella,2727.0,2711.0,2012,99.41327466079942,1600000US0614260
Coalinga,2006.0,1984.0,2012,98.90329012961116,1600000US0614274
Coarsegold,408.0,386.0,2012,94.6078431372549,1600000US0614288
Cobb,42.0,29.0,2012,69.04761904761905,1600000US0614302
Coleville,131.0,129.0,2012,98.47328244274809,1600000US0614484
Colfax,1148.0,987.0,2012,85.97560975609755,1600000US0614498
Colma,631.0,623.0,2012,98.73217115689383,1600000US0614736
Colton,8428.0,8329.0,2012,98.82534409112482,1600000US0614890
Columbia,173.0,154.0,2012,89.01734104046243,1600000US0614904
Colusa,865.0,841.0,2012,97.22543352601156,1600000US0614946
Commerce,881.0,825.0,2012,93.64358683314416,1600000US0614974
Compton,14689.0,14485.0,2012,98.61120566410239,1600000US0615044
Concord,13773.0,13524.0,2012,98.19211500762361,1600000US0616000
Copperopolis,64.0,43.0,2012,67.1875,1600000US0616210
Corcoran,1856.0,1834.0,2012,98.8146551724138,1600000US0616224
Corning,2031.0,2000.0,2012,98.4736582964057,1600000US0616322
Corona,27133.0,26361.0,2012,97.15475620093613,1600000US0616350
Coronado,2154.0,2050.0,2012,95.17177344475395,1600000US0616378
Corralitos,46.0,43.0,2012,93.47826086956522,1600000US0616434
Corte Madera,990.0,872.0,2012,88.08080808080808,1600000US0616462
Costa Mesa,13408.0,12673.0,2012,94.51819809069212,1600000US0616532
Cotati,194.0,187.0,2012,96.3917525773196,1600000US0616560
Cottonwood,1770.0,1651.0,2012,93.27683615819208,1600000US0616630
Courtland,80.0,79.0,2012,98.75,1600000US0616714
Covelo,232.0,201.0,2012,86.63793103448276,1600000US0616728
Covina,11385.0,11195.0,2012,98.33113746157225,1600000US0616742
Crescent City,2318.0,2169.0,2012,93.57204486626402,1600000US0617022
Crescent Mills,16.0,13.0,2012,81.25,1600000US0617050
Cressey,46.0,45.0,2012,97.82608695652173,1600000US0617078
Crestline,273.0,240.0,2012,87.91208791208791,1600000US0617162
Creston,14.0,12.0,2012,85.71428571428571,1600000US0617232
Crockett,773.0,764.0,2012,98.83570504527813,1600000US0617274
Crows Landing,29.0,24.0,2012,82.75862068965517,1600000US0617428
Cudahy,2294.0,2241.0,2012,97.68962510897995,1600000US0617498
Culver City,6501.0,6180.0,2012,95.0622981079834,1600000US0617568
Cupertino,10684.0,10539.0,2012,98.64283040059902,1600000US0617610
Cutler,428.0,427.0,2012,99.76635514018692,1600000US0617708
Cuyama,20.0,19.0,2012,95.0,1600000US0617727
Cypress,6410.0,6343.0,2012,98.95475819032762,1600000US0617750
Daly City,5833.0,5729.0,2012,98.21704097376993,1600000US0617918
Dana Point,4074.0,3778.0,2012,92.73441335297005,1600000US0617946
Danville,9528.0,9359.0,2012,98.2262804366079,1600000US0617988
Davenport,39.0,25.0,2012,64.1025641025641,1600000US0618086
Davis,6181.0,5943.0,2012,96.14949037372594,1600000US0618100
Del Mar,203.0,192.0,2012,94.58128078817734,1600000US0618506
Del Rey,95.0,93.0,2012,97.89473684210527,1600000US0618674
Del Rey Oaks,15.0,14.0,2012,93.33333333333333,1600000US0618688
Delano,8112.0,7979.0,2012,98.3604536489152,1600000US0618394
Delhi,1585.0,1563.0,2012,98.61198738170347,1600000US0618464
Denair,1074.0,1001.0,2012,93.20297951582867,1600000US0618856
Descanso,73.0,71.0,2012,97.26027397260275,1600000US0618940
Desert Hot Springs,3864.0,3731.0,2012,96.55797101449275,1600000US0618996
Diamond Bar,6059.0,5985.0,2012,98.77867634923254,1600000US0619192
Diamond Springs,357.0,330.0,2012,92.43697478991596,1600000US0619220
Dinuba,3764.0,3745.0,2012,99.49521785334751,1600000US0619318
Discovery Bay,136.0,129.0,2012,94.85294117647058,1600000US0619339
Dixon,2393.0,2351.0,2012,98.24488090263269,1600000US0619402
Dobbins,26.0,20.0,2012,76.92307692307693,1600000US0619416
Dorris,142.0,137.0,2012,96.47887323943662,1600000US0619584
Dos Palos,1408.0,1396.0,2012,99.14772727272727,1600000US0619612
Douglas City,29.0,26.0,2012,89.65517241379311,1600000US0619724
Downey,15847.0,15630.0,2012,98.6306556446015,1600000US0619766
Doyle,331.0,321.0,2012,96.97885196374622,1600000US0619878
Duarte,2606.0,2572.0,2012,98.69531849577898,1600000US0619990
Dublin,5169.0,5037.0,2012,97.44631456761462,1600000US0620018
Ducor,67.0,61.0,2012,91.04477611940298,1600000US0620032
Dunsmuir,157.0,137.0,2012,87.26114649681529,1600000US0620242
Durham,592.0,551.0,2012,93.07432432432432,1600000US0620270
Earlimart,737.0,734.0,2012,99.59294436906377,1600000US0620438
East Nicolaus,1148.0,505.0,2012,43.98954703832752,1600000US0620900
East Palo Alto,1928.0,1897.0,2012,98.39211618257261,1600000US0620956
East Rancho Dominguez,76.0,70.0,2012,92.10526315789474,1600000US0621034
East Whittier,48.0,44.0,2012,91.66666666666666,1600000US0621292
Eastvale,816.0,807.0,2012,98.89705882352942,1600000US0621230
Edgewood,62.0,58.0,2012,93.54838709677419,1600000US0621530
Edwards AFB,762.0,757.0,2012,99.34383202099738,1600000US0621600
El Cajon,16573.0,16124.0,2012,97.29077415072709,1600000US0621712
El Centro,7967.0,7830.0,2012,98.28040667754487,1600000US0621782
El Cerrito,5614.0,5482.0,2012,97.64873530459566,1600000US0621796
El Cerrito,5614.0,5482.0,2012,97.64873530459566,1600000US0621810
El Dorado Hills,4714.0,4461.0,2012,94.63300806109461,1600000US0621880
El Granada,146.0,132.0,2012,90.41095890410958,1600000US0621936
El Monte,13450.0,13342.0,2012,99.19702602230484,1600000US0622230
El Nido,56.0,53.0,2012,94.64285714285714,1600000US0622286
El Paso de Robles (Paso Robles),4440.0,4065.0,2012,91.55405405405406,1600000US0622300
El Segundo,3123.0,2925.0,2012,93.65994236311239,1600000US0622412
El Sobrante (Contra Costa County),1078.0,1026.0,2012,95.17625231910947,1600000US0622454
Elk Creek,23.0,19.0,2012,82.6086956521739,1600000US0622006
Elk Grove,23711.0,23102.0,2012,97.43157184429168,1600000US0622020
Elverta,90.0,76.0,2012,84.44444444444444,1600000US0622524
Emeryville,536.0,497.0,2012,92.72388059701493,1600000US0622594
Empire,449.0,436.0,2012,97.10467706013362,1600000US0622622
Encinitas,8569.0,7915.0,2012,92.36783755397363,1600000US0622678
Escalon,1835.0,1774.0,2012,96.67574931880108,1600000US0622790
Escondido,19059.0,18093.0,2012,94.93152841177397,1600000US0622804
Esparto,566.0,548.0,2012,96.81978798586573,1600000US0622846
Etna,230.0,204.0,2012,88.69565217391305,1600000US0622972
Eureka,4087.0,3650.0,2012,89.30756055786641,1600000US0623042
Exeter,1841.0,1770.0,2012,96.14340032590984,1600000US0623126
Fair Oaks,5604.0,5323.0,2012,94.9857244825125,1600000US0623294
Fairfax,660.0,610.0,2012,92.42424242424242,1600000US0623168
Fairfield,14507.0,14173.0,2012,97.69766319707728,1600000US0623182
Fairmead,17.0,17.0,2012,100.0,1600000US0623210
Fall River Mills,65.0,58.0,2012,89.23076923076924,1600000US0623532
Fallbrook,4895.0,4639.0,2012,94.77017364657814,1600000US0623462
Farmersville,1557.0,1547.0,2012,99.3577392421323,1600000US0623616
Farmington,12.0,12.0,2012,100.0,1600000US0623630
Fellows,11.0,11.0,2012,100.0,1600000US0623812
Felton,1213.0,1112.0,2012,91.67353668590272,1600000US0623826
Ferndale,495.0,442.0,2012,89.29292929292929,1600000US0623910
Fieldbrook,17.0,7.0,2012,41.17647058823529,1600000US0624008
Fillmore,2086.0,2054.0,2012,98.46596356663471,1600000US0624092
Firebaugh,1512.0,1502.0,2012,99.33862433862434,1600000US0624134
Folsom,7225.0,6761.0,2012,93.57785467128028,1600000US0624638
Fontana,26516.0,26305.0,2012,99.20425403529944,1600000US0624680
Forest Ranch,19.0,15.0,2012,78.94736842105263,1600000US0624918
Foresthill,440.0,406.0,2012,92.27272727272727,1600000US0624834
Forestville,897.0,868.0,2012,96.7670011148272,1600000US0624960
Fort Bragg,1094.0,1004.0,2012,91.77330895795247,1600000US0625058
Fort Irwin,676.0,671.0,2012,99.2603550295858,1600000US0625114
Fort Jones,167.0,153.0,2012,91.61676646706587,1600000US0625128
Fortuna,1603.0,1453.0,2012,90.64254522769806,1600000US0625296
Foster City,2076.0,2017.0,2012,97.15799614643545,1600000US0625338
Fountain Valley,9239.0,9044.0,2012,97.88938196774542,1600000US0625380
Fowler,1297.0,1294.0,2012,99.76869699306091,1600000US0625436
Frazier Park,32.0,31.0,2012,96.875,1600000US0625534
Freedom,303.0,288.0,2012,95.04950495049505,1600000US0625576
Fremont,22447.0,22039.0,2012,98.18238517396534,1600000US0626000
French Camp,343.0,339.0,2012,98.83381924198251,1600000US0626028
Fresno,67003.0,64936.0,2012,96.9150635046192,1600000US0627000
Fullerton,16051.0,15716.0,2012,97.91290262288955,1600000US0628000
Galt,3919.0,3763.0,2012,96.01939270221995,1600000US0628112
Garden Grove,22854.0,22539.0,2012,98.62168548175374,1600000US0629000
Gardena,5945.0,5689.0,2012,95.69386038687972,1600000US0628168
Gazelle,10.0,9.0,2012,90.0,1600000US0629252
Georgetown,187.0,175.0,2012,93.58288770053476,1600000US0629350
Gerber,163.0,161.0,2012,98.77300613496932,1600000US0629392
Geyserville,133.0,129.0,2012,96.99248120300751,1600000US0629420
Gilroy,7021.0,6924.0,2012,98.61843042301666,1600000US0629504
Glen Ellen,47.0,45.0,2012,95.74468085106383,1600000US0630028
Glendale,12510.0,12208.0,2012,97.58593125499601,1600000US0630000
Glendora,6747.0,6527.0,2012,96.7392915369794,1600000US0630014
Gold River,277.0,259.0,2012,93.50180505415162,1600000US0630345
Goleta,4185.0,3956.0,2012,94.52807646356034,1600000US0630378
Gonzales,1469.0,1452.0,2012,98.8427501701838,1600000US0630392
Goshen,99.0,95.0,2012,95.95959595959596,1600000US0630476
Grand Terrace,1230.0,1213.0,2012,98.6178861788618,1600000US0630658
Granite Bay,2896.0,2757.0,2012,95.20027624309392,1600000US0630693
Grass Valley,5377.0,4874.0,2012,90.64534126836527,1600000US0630798
Greeley Hill,12.0,11.0,2012,91.66666666666666,1600000US0630900
Greenfield,3962.0,3946.0,2012,99.59616355376073,1600000US0630987
