,county,vac_info_type,pct
127,Santa Clara,7thGradeData,97.4908125
128,Santa Clara,ChildCareData,94.31907040701398
129,Santa Clara,KindergartenData,94.14347457627117
130,Santa Cruz,7thGradeData,90.03117647058825
131,Santa Cruz,ChildCareData,87.53273794430055
132,Santa Cruz,KindergartenData,82.78763636363635
133,Shasta,7thGradeData,86.5960606060606
134,Shasta,ChildCareData,90.46020998735608
135,Shasta,KindergartenData,79.74333333333333
136,Sierra,7thGradeData,100.0
137,Sierra,ChildCareData,100.0
138,Sierra,KindergartenData,100.0
139,Siskiyou,7thGradeData,86.94692307692307
140,Siskiyou,ChildCareData,88.69577229929827
141,Siskiyou,KindergartenData,79.17
142,Solano,7thGradeData,98.13068965517242
143,Solano,ChildCareData,92.69401716087329
144,Solano,KindergartenData,95.56176470588233
145,Sonoma,7thGradeData,88.6582
146,Sonoma,ChildCareData,91.05370391796714
147,Sonoma,KindergartenData,87.32292452830188
148,Stanislaus,7thGradeData,94.49338983050846
149,Stanislaus,ChildCareData,94.77785718423762
150,Stanislaus,KindergartenData,93.43928571428569
151,Sutter,7thGradeData,92.54227272727275
152,Sutter,ChildCareData,92.01311413740824
153,Sutter,KindergartenData,89.54076923076921
154,Tehama,7thGradeData,92.21384615384616
155,Tehama,ChildCareData,94.051408162514
156,Tehama,KindergartenData,89.994375
157,Trinity,7thGradeData,87.62666666666667
158,Trinity,ChildCareData,84.87329434697858
159,Trinity,KindergartenData,81.28
160,Tulare,7thGradeData,97.25969696969698
161,Tulare,ChildCareData,97.22498522945341
162,Tulare,KindergartenData,95.34154545454545
163,Tuolumne,7thGradeData,83.38833333333334
164,Tuolumne,ChildCareData,92.0889801618023
165,Tuolumne,KindergartenData,77.58636363636363
166,Ventura,7thGradeData,91.29831168831168
167,Ventura,ChildCareData,92.99674971895777
168,Ventura,KindergartenData,88.8487078651685
169,Yolo,7thGradeData,94.4659090909091
170,Yolo,ChildCareData,95.9077069575404
171,Yolo,KindergartenData,93.01263157894736
172,Yuba,7thGradeData,86.875
173,Yuba,ChildCareData,85.18047034058868
174,Yuba,KindergartenData,89.9427272727273
