GEO.id,county,tot_pop,male,female,under_5,5_9,10_14,15_19,20_24,25_34,35_44,45_54,55_59,60_64,65_74,75_84,85_over,median_age,hispanic_latino,white,black,aian,asian,nhopi,other,median_income,insurance,private_insure,public_insure,no_insurance,year
0500000US06067,Sacramento ,1408480,690157,718323,100877,96870,100733,104203,101185,205948,193225,198770,84283,66099,81548,52264,22475,34.7,298709,690766,139399,8240,199123,13440,113293,56553,,,,,2011
0500000US06069,San Benito ,54873,27417,27456,4127,4215,4764,4579,3499,7023,7665,8040,3276,2357,2961,1678,689,33.9,30497,21175,490,215,1289,0,2230,65570,,,,,2011
0500000US06071,San Bernardino ,2023452,1007191,1016261,159949,156714,170592,179155,158480,281408,276298,274238,105896,83739,100618,55883,20482,31.4,984022,685741,168190,7889,123415,5658,92190,55853,,,,,2011
0500000US06073,San Diego ,3060849,1536200,1524649,203716,193855,195273,223223,266614,465473,423104,425778,175075,143030,176166,117305,52237,34.6,967858,1500123,146379,10906,326884,12903,185230,63857,,,,,2011
0500000US06075,San Francisco ,797983,404490,393493,35295,28073,26106,34147,58320,167453,134179,110871,50422,43840,53817,38081,17379,38.4,119029,334808,47345,2064,265685,3234,48741,72947,,,,,2011
0500000US06077,San Joaquin ,680277,339095,341182,54758,53657,56793,57836,48242,90083,91955,90688,37490,28952,37329,22945,9549,32.5,260636,248594,46907,3043,95230,3229,44114,53764,,,,,2011
0500000US06079,San Luis Obispo ,267871,137401,130470,13314,12912,14661,22756,28245,30718,29836,39677,19489,16019,20502,13543,6199,39.1,54537,191177,5625,1436,8433,277,12185,58630,,,,,2011
0500000US06081,San Mateo ,711622,349833,361789,46262,44213,41254,41393,39871,98624,108829,109438,47007,39826,48684,31276,14945,39.2,177003,306965,19352,1214,173062,10403,45000,87633,,,,,2011
0500000US06083,Santa Barbara ,419793,210649,209144,27237,25609,26092,38461,44637,55240,50758,54517,23277,20179,26169,18365,9252,33.4,175692,205066,6995,2234,20063,749,17335,61896,,,,,2011
0500000US06085,Santa Clara ,1762754,885307,877447,124848,118016,112994,113788,112630,269462,279458,258928,100299,79909,103118,63472,25832,36.0,468262,632114,41881,4443,555773,5990,103666,89064,,,,,2011
0500000US06087,Santa Cruz ,259402,129383,130019,14836,14960,15051,21983,25540,32232,33323,38749,18832,15406,15130,9158,4202,36.7,81507,156125,2472,747,10321,363,15106,66030,,,,,2011
0500000US06089,Shasta ,177231,87182,90049,10321,10351,11865,12567,11179,19441,20549,26514,13368,11741,16057,9231,4047,41.6,14622,146558,1610,3571,4483,269,12096,44058,,,,,2011
0500000US06091,Sierra ,3277,1575,1702,132,118,178,242,84,156,342,618,475,241,400,249,42,51.5,247,2968,38,11,3,0,19,50308,,,,,2011
0500000US06093,Siskiyou ,44687,22245,22442,2374,2666,2483,2841,2155,4119,4678,7012,3781,3874,4836,2869,999,46.9,4544,35688,516,1250,588,106,3956,37865,,,,,2011
0500000US06095,Solano ,411620,205762,205858,26967,28522,27741,30688,28784,54610,55735,63550,26436,22911,25148,14795,5733,36.7,97268,169645,58884,1624,58213,3316,42907,69914,,,,,2011
