county,enrollment,vaccinated,school_year,year,vac_pct,GEO.id,tot_pop,male,male_pct,female,female_pct,under_5,under_5_pct,5_9,5_9_pct,10_14,10_14_pct,15_19,15_19_pct,20_24,20_24_pct,25_34,25_34_pct,35_44,35_44_pct,45_54,45_54_pct,55_59,55_59_pct,60_64,60_64_pct,65_74,65_74_pct,75_84,75_84_pct,85_over,85_over_pct,median_age,median_age_pct,hispanic_latino,hispanic_latino_pct,mexican,mexican_pct,white,white_pct,black,black_pct,aian,aian_pct,asian,asian_pct,nhopi,nhopi_pct,other,other_pct,GEO.id2_y,median_income,insurance,insurance_pct,private_insure,private_insure_pct,public_insure,public_insure_pct,no_insurance,no_insurance_pct,hs_degree_pct,bachelor_degree_pct
Santa Clara,196683.0,192149.0,2011-2012,2012,97.69476772268065,0500000US06085,1788393,898013,50.2,890380,49.8,124697,7.0,121462,6.8,113656,6.4,113977,6.4,114059,6.4,271796,15.2,279838,15.6,262675,14.7,103527,5.8,83498,4.7,107718,6.0,64532,3.6,26958,1.5,36.2,,478065,26.7,402404.0,22.5,629179,35.2,42681,2.4,4271,0.2,572416,32.0,6046,0.3,107054,6.0,6085,90747,1574392,88.6,1315049,74.0,402091,22.6,203337,11.4,86.5,46.0
Santa Cruz,26212.0,24213.0,2011-2012,2012,92.3737219594079,0500000US06087,262340,130813,49.9,131527,50.1,15020,5.7,14789,5.6,15374,5.9,22208,8.5,25592,9.8,32659,12.4,33112,12.6,38295,14.6,19820,7.6,15783,6.0,16196,6.2,9026,3.4,4466,1.7,36.9,,83709,31.9,76488.0,29.2,156894,59.8,2573,1.0,689,0.3,10483,4.0,377,0.1,14920,5.7,6087,66571,222880,85.5,179606,68.9,66991,25.7,37821,14.5,84.9,37.5
Shasta,17887.0,16367.0,2011-2012,2012,91.50220830770951,0500000US06089,177693,87442,49.2,90251,50.8,10368,5.8,10313,5.8,11650,6.6,12372,7.0,11192,6.3,19849,11.2,19899,11.2,26121,14.7,13364,7.5,12266,6.9,16864,9.5,9394,5.3,4041,2.3,41.9,,14994,8.4,11206.0,6.3,146440,82.4,1563,0.9,3688,2.1,4599,2.6,307,0.2,12108,6.9,6089,44396,147568,83.7,101971,57.9,71098,40.3,28641,16.3,88.1,19.3
Sierra,220.0,207.0,2011-2012,2012,94.0909090909091,0500000US06091,3163,1552,49.1,1611,50.9,163,5.2,131,4.1,134,4.2,198,6.3,65,2.1,195,6.2,377,11.9,532,16.8,408,12.9,271,8.6,412,13.0,224,7.1,53,1.7,51.6,,281,8.9,265.0,8.4,2806,88.7,36,1.1,10,0.3,4,0.1,18,0.6,15,0.4,6091,42500,2507,79.9,1899,60.5,1091,34.8,631,20.1,90.2,16.7
Siskiyou,3561.0,3217.0,2011-2012,2012,90.33979219320416,0500000US06093,44673,22262,49.8,22411,50.2,2389,5.3,2634,5.9,2486,5.6,2770,6.2,2191,4.9,4227,9.5,4560,10.2,6705,15.0,3881,8.7,3911,8.8,5057,11.3,2782,6.2,1080,2.4,47.0,,4652,10.4,3966.0,8.9,35501,79.5,541,1.2,1206,2.7,601,1.3,109,0.2,4093,9.1,6093,37948,37517,84.6,24739,55.8,19922,44.9,6844,15.4,88.7,23.1
Solano,39571.0,38723.0,2011-2012,2012,97.85701650198378,0500000US06095,414209,206891,49.9,207318,50.1,26806,6.5,27833,6.7,27966,6.8,30174,7.3,29410,7.1,55306,13.4,54558,13.2,63308,15.3,27407,6.6,23885,5.8,26557,6.4,15051,3.6,5948,1.4,37.0,,99502,24.0,79017.0,19.1,168848,40.8,57592,13.9,1336,0.3,60320,14.6,3563,0.9,44500,10.700000000000001,6095,69006,347209,88.0,281317,71.3,109731,27.8,47505,12.0,86.7,24.2
Sonoma,46128.0,43944.0,2011-2012,2012,95.26534859521331,0500000US06097,483456,237760,49.2,245696,50.8,28087,5.8,29380,6.1,29343,6.1,33159,6.9,32192,6.7,60871,12.6,60787,12.6,72806,15.1,35623,7.4,32805,6.8,36257,7.5,20773,4.3,11373,2.4,39.8,,119747,24.8,102833.0,21.3,320460,66.3,7063,1.5,3482,0.7,19265,4.0,1344,0.3,23288,4.800000000000001,6097,63565,411768,86.0,335983,70.2,133370,27.9,66793,14.0,86.7,32.1
Stanislaus,64719.0,62161.0,2011-2012,2012,96.04752854648557,0500000US06099,515115,254802,49.5,260313,50.5,39997,7.8,38272,7.4,42740,8.3,42239,8.2,37779,7.3,70423,13.7,67063,13.0,68821,13.4,29172,5.7,23145,4.5,30157,5.9,17367,3.4,7940,1.5,32.8,,216009,41.9,198454.0,38.5,240545,46.7,13250,2.6,2834,0.6,25918,5.0,3290,0.6,25612,5.0,6099,49866,422307,82.6,290544,56.8,175980,34.4,89254,17.4,76.0,16.3
Sutter,13971.0,12936.0,2011-2012,2012,92.59179729439553,0500000US06101,94615,47074,49.8,47541,50.2,7107,7.5,7578,8.0,6730,7.1,7243,7.7,6570,6.9,12638,13.4,12053,12.7,12573,13.3,5094,5.4,4888,5.2,6705,7.1,4094,4.3,1342,1.4,34.5,,27119,28.7,25158.0,26.6,47771,50.5,1536,1.6,786,0.8,13147,13.9,280,0.3,7835,8.2,6101,50510,75612,81.2,51014,54.8,34171,36.7,17490,18.8,77.9,18.4
Tehama,6420.0,6151.0,2011-2012,2012,95.80996884735202,0500000US06103,63200,31428,49.7,31772,50.3,4285,6.8,4205,6.7,4561,7.2,4607,7.3,3646,5.8,7173,11.3,7354,11.6,9016,14.3,4521,7.2,3679,5.8,5801,9.2,3233,5.1,1119,1.8,39.6,,13885,22.0,12481.0,19.7,45453,71.9,360,0.6,1160,1.8,688,1.1,57,0.1,3179,5.0,6103,40307,51377,82.4,32559,52.2,28198,45.2,10972,17.6,80.3,13.1
Trinity,875.0,756.0,2011-2012,2012,86.4,0500000US06105,13693,7015,51.2,6678,48.8,814,5.9,598,4.4,761,5.6,641,4.7,601,4.4,1304,9.5,1369,10.0,2222,16.2,1428,10.4,1215,8.9,1654,12.1,664,4.8,422,3.1,49.2,,956,7.0,788.0,5.8,11418,83.4,119,0.9,166,1.2,152,1.1,37,0.3,1661,12.2,6105,36569,10494,77.8,6392,47.4,6252,46.4,2989,22.2,91.3,19.7
Tulare,57578.0,56457.0,2011-2012,2012,98.05307582757304,0500000US06107,441877,221571,50.1,220306,49.9,41165,9.3,37960,8.6,40358,9.1,38500,8.7,32874,7.4,61891,14.0,54761,12.4,52116,11.8,22208,5.0,17946,4.1,23195,5.2,13424,3.0,5479,1.2,29.7,,267639,60.6,259114.0,58.6,144029,32.6,5559,1.3,2833,0.6,13883,3.1,354,0.1,14561,3.3000000000000003,6107,43803,340796,77.9,201400,46.0,173789,39.7,96718,22.1,68.1,13.3
Tuolumne,4106.0,3636.0,2011-2012,2012,88.55333658061375,0500000US06109,55205,28964,52.5,26241,47.5,2427,4.4,2674,4.8,2606,4.7,3234,5.9,3023,5.5,5939,10.8,5892,10.7,8656,15.7,4856,8.8,4483,8.1,6317,11.4,3589,6.5,1509,2.7,48.0,,5935,10.8,4702.0,8.5,44945,81.4,1105,2.0,807,1.5,568,1.0,64,0.1,3128,5.7,6109,48169,45167,87.6,34112,66.2,22067,42.8,6400,12.4,88.4,17.4
Ventura,93012.0,88660.0,2011-2012,2012,95.32103384509526,0500000US06111,822794,408800,49.7,413994,50.3,55347,6.7,57902,7.0,58806,7.1,63567,7.7,56961,6.9,105087,12.8,111027,13.5,122693,14.9,50430,6.1,43320,5.3,52340,6.4,31424,3.8,13890,1.7,36.4,,331225,40.3,296100.0,36.0,400432,48.7,12937,1.6,1626,0.2,55605,6.8,1236,0.2,38368,4.6,6111,76483,682255,83.8,553511,68.0,205592,25.3,131645,16.2,82.7,31.2
Yolo,19393.0,18608.0,2011-2012,2012,95.95214768215335,0500000US06113,200873,98020,48.8,102853,51.2,12394,6.2,12380,6.2,12343,6.1,19222,9.6,28098,14.0,27725,13.8,23910,11.9,24736,12.3,10890,5.4,9143,4.6,10728,5.3,6345,3.2,2959,1.5,30.5,,60939,30.3,52862.0,26.3,100254,49.9,4748,2.4,1117,0.6,25323,12.6,1016,0.5,14488,7.2,6113,57260,175627,88.1,144521,72.5,48032,24.1,23728,11.9,84.2,38.0
Yuba,8368.0,7997.0,2011-2012,2012,95.56644359464627,0500000US06115,72244,36580,50.6,35664,49.4,6171,8.5,5715,7.9,5717,7.9,5418,7.5,5433,7.5,10694,14.8,8740,12.1,9452,13.1,3853,5.3,3750,5.2,4158,5.8,2349,3.3,794,1.1,31.9,,18193,25.2,16139.0,22.3,42230,58.5,1975,2.7,776,1.1,5056,7.0,258,0.4,7127,9.899999999999999,6115,46641,59098,84.6,36745,52.6,30201,43.3,10719,15.4,78.4,13.6
Alameda,60432.0,57112.0,2012-2013,2013,94.50622186920836,0500000US06001,1535248,752840,49.0,782408,51.0,97522,6.4,94982,6.2,92140,6.0,97754,6.4,108594,7.1,234330,15.3,230137,15.0,223001,14.5,96609,6.3,83479,5.4,97512,6.4,52967,3.5,26221,1.7,36.8,,345847,22.5,,,517764,33.7,181315,11.8,4484,0.3,408556,26.6,12230,0.8,125705,8.2,6001,72112,1331504,87.4,1069074,70.2,391370,25.7,191264,12.6,86.4,41.8
Alpine,32.0,29.0,2012-2013,2013,90.625,0500000US06003,1165,708,60.8,457,39.2,43,3.7,112,9.6,42,3.6,90,7.7,64,5.5,83,7.1,162,13.9,115,9.9,142,12.2,86,7.4,113,9.7,113,9.7,0,0.0,44.3,,87,7.5,,,823,70.6,7,0.6,200,17.2,17,1.5,27,2.3,8,0.6,6003,58636,891,76.5,586,50.3,467,40.1,274,23.5,90.4,31.2
Amador,898.0,807.0,2012-2013,2013,89.86636971046771,0500000US06005,37422,20236,54.1,17186,45.9,1290,3.4,1701,4.5,1734,4.6,2160,5.8,1681,4.5,3417,9.1,4271,11.4,6185,16.5,3679,9.8,3158,8.4,4756,12.7,2459,6.6,931,2.5,49.1,,4710,12.6,,,29928,80.0,893,2.4,623,1.7,503,1.3,79,0.2,1372,3.6,6005,53684,29285,88.4,23063,69.6,13480,40.7,3834,11.6,88.1,19.3
Butte,8542.0,7748.0,2012-2013,2013,90.70475298524936,0500000US06007,220542,109200,49.5,111342,50.5,12245,5.6,12180,5.5,13072,5.9,16640,7.5,25197,11.4,26304,11.9,23228,10.5,27669,12.5,14931,6.8,14226,6.5,18166,8.2,11175,5.1,5509,2.5,37.0,,32084,14.5,,,164932,74.8,2795,1.3,1677,0.8,9406,4.3,333,0.2,18564,8.399999999999999,6007,43752,184152,84.3,129994,59.5,84339,38.6,34272,15.7,87.7,24.4
Calaveras,1147.0,994.0,2012-2013,2013,86.6608544027899,0500000US06009,45147,22612,50.1,22535,49.9,1846,4.1,2374,5.3,2509,5.6,2811,6.2,2061,4.6,3408,7.5,4420,9.8,7147,15.8,4394,9.7,4080,9.0,6245,13.8,2592,5.7,1260,2.8,50.0,,4794,10.6,,,37570,83.2,378,0.8,349,0.8,553,1.2,9,0.0,2981,6.6,6009,55295,39532,88.5,31614,70.8,16868,37.8,5141,11.5,92.8,21.2
Colusa,999.0,986.0,2012-2013,2013,98.69869869869869,0500000US06011,21366,11064,51.8,10302,48.2,1770,8.3,1768,8.3,1619,7.6,1720,8.1,1370,6.4,2688,12.6,2686,12.6,2750,12.9,1145,5.4,1239,5.8,1435,6.7,935,4.4,241,1.1,33.9,,11953,55.9,,,8338,39.0,174,0.8,181,0.8,245,1.1,16,0.1,918,4.2,6011,52158,16542,78.3,10497,49.7,8041,38.1,4581,21.7,69.4,13.8
Contra Costa,45280.0,43608.0,2012-2013,2013,96.30742049469964,0500000US06013,1065794,520220,48.8,545574,51.2,66149,6.2,74174,7.0,73211,6.9,73579,6.9,63053,5.9,131727,12.4,148550,13.9,164085,15.4,71063,6.7,62152,5.8,76680,7.2,41121,3.9,20250,1.9,38.6,,261427,24.5,,,503167,47.2,93777,8.8,2869,0.3,154869,14.5,4731,0.4,86775,8.2,6013,78756,933765,88.1,780247,73.6,269498,25.4,126165,11.9,88.8,39.0
Del Norte,776.0,692.0,2012-2013,2013,89.17525773195877,0500000US06015,28357,15733,55.5,12624,44.5,1820,6.4,1557,5.5,1558,5.5,1941,6.8,1944,6.9,3827,13.5,3436,12.1,4515,15.9,1928,6.8,1805,6.4,2411,8.5,1184,4.2,431,1.5,39.1,,5217,18.4,,,18205,64.2,889,3.1,1223,4.3,709,2.5,100,0.4,3988,14.1,6015,37909,21153,85.0,12765,51.3,11850,47.6,3726,15.0,79.1,14.0
El Dorado,6391.0,5748.0,2012-2013,2013,89.93897668596463,0500000US06017,180982,90576,50.0,90406,50.0,8982,5.0,11023,6.1,12164,6.7,12328,6.8,9487,5.2,17334,9.6,21363,11.8,31220,17.3,15508,8.6,13446,7.4,16672,9.2,7983,4.4,3472,1.9,44.1,,22034,12.2,,,144293,79.7,1480,0.8,1281,0.7,6358,3.5,188,0.1,10618,5.8,6017,69297,161594,89.8,137085,76.2,50234,27.9,18382,10.2,93.2,32.0
Fresno,45505.0,43857.0,2012-2013,2013,96.37841995385122,0500000US06019,939605,469204,49.9,470401,50.1,79482,8.5,77388,8.2,73890,7.9,77505,8.2,77703,8.3,135615,14.4,114748,12.2,114497,12.2,49878,5.3,41711,4.4,52629,5.6,29957,3.2,14602,1.6,30.9,,477078,50.8,,,302091,32.2,45457,4.8,4814,0.5,88753,9.4,1216,0.1,38606,4.2,6019,45563,746473,80.4,453593,48.9,372847,40.2,181440,19.6,73.1,19.6
Glenn,1098.0,1080.0,2012-2013,2013,98.36065573770492,0500000US06021,28054,14194,50.6,13860,49.4,2037,7.3,1892,6.7,2466,8.8,2126,7.6,1788,6.4,3118,11.1,3563,12.7,3915,14.0,1515,5.4,1822,6.5,2099,7.5,1225,4.4,488,1.7,37.2,,10726,38.2,,,15447,55.1,196,0.7,543,1.9,703,2.5,36,0.1,781,2.8000000000000003,6021,43023,21992,79.4,14269,51.5,10933,39.4,5722,20.6,72.3,14.6
Humboldt,4373.0,3567.0,2012-2013,2013,81.56871712782987,0500000US06023,134613,67457,50.1,67156,49.9,7464,5.5,7293,5.4,7239,5.4,9629,7.2,12474,9.3,19293,14.3,15368,11.4,17755,13.2,10930,8.1,8759,6.5,10361,7.7,5600,4.2,2448,1.8,37.5,,13584,10.1,,,103483,76.9,1552,1.2,7260,5.4,3070,2.3,465,0.3,10183,7.6,6023,41426,107595,80.6,75594,56.6,48523,36.4,25856,19.4,90.4,27.5
Imperial,8342.0,8176.0,2012-2013,2013,98.0100695276912,0500000US06025,175201,90083,51.4,85118,48.6,14112,8.1,14160,8.1,13706,7.8,14594,8.3,14014,8.0,24169,13.8,22182,12.7,22204,12.7,9962,5.7,7136,4.1,10209,5.8,6589,3.8,2164,1.2,31.8,,141709,80.9,,,23456,13.4,4938,2.8,1343,0.8,2308,1.3,99,0.1,2585,1.5,6025,41807,129824,78.7,74240,45.0,65617,39.8,35097,21.3,64.5,13.3
Inyo,648.0,630.0,2012-2013,2013,97.22222222222221,0500000US06027,18482,9312,50.4,9170,49.6,1095,5.9,921,5.0,1149,6.2,1082,5.9,863,4.7,2038,11.0,1950,10.6,2776,15.0,1519,8.2,1525,8.3,1833,9.9,1180,6.4,551,3.0,45.7,,3684,19.9,,,12051,65.2,170,0.9,1913,10.4,271,1.5,32,0.2,632,3.5,6027,44796,15449,84.9,11319,62.2,7034,38.7,2737,15.1,88.1,21.4
Kern,39785.0,38366.0,2012-2013,2013,96.43332914414981,0500000US06029,848204,436648,51.5,411556,48.5,72910,8.6,70865,8.4,67762,8.0,69911,8.2,68057,8.0,124344,14.7,108372,12.8,107313,12.7,43749,5.2,36627,4.3,45733,5.4,24056,2.8,8505,1.0,30.8,,422395,49.8,,,321424,37.9,45164,5.3,5536,0.7,35050,4.1,973,0.1,34206,4.0,6029,48552,652377,79.8,420709,51.5,296735,36.3,164775,20.2,72.4,15.0
Kings,6484.0,6329.0,2012-2013,2013,97.60950030845157,0500000US06031,151806,85119,56.1,66687,43.9,12714,8.4,11785,7.8,10974,7.2,11147,7.3,13079,8.6,24991,16.5,21806,14.4,19719,13.0,7550,5.0,5551,3.7,7206,4.7,3794,2.5,1490,1.0,31.1,,78236,51.5,,,53046,34.9,9843,6.5,1200,0.8,5292,3.5,315,0.2,7344,4.9,6031,48133,106674,81.1,73001,55.5,44217,33.6,24908,18.9,71.0,12.9
Lake,1988.0,1779.0,2012-2013,2013,89.48692152917505,0500000US06033,64260,32366,50.4,31894,49.6,3543,5.5,3468,5.4,3820,5.9,4147,6.5,3330,5.2,6714,10.4,7031,10.9,9573,14.9,5374,8.4,5487,8.5,6874,10.7,3235,5.0,1664,2.6,45.1,,11323,17.6,,,47227,73.5,1480,2.3,1855,2.9,785,1.2,148,0.2,2738,4.300000000000001,6033,36548,51460,80.9,31139,49.0,29710,46.7,12130,19.1,85.4,16.2
Lassen,939.0,826.0,2012-2013,2013,87.96592119275826,0500000US06035,34018,22555,66.3,11463,33.7,1518,4.5,1206,3.5,1672,4.9,1774,5.2,3247,9.5,6570,19.3,5247,15.4,5180,15.2,2310,6.8,1790,5.3,1990,5.8,1122,3.3,392,1.2,37.3,,6084,17.9,,,22540,66.3,2824,8.3,1026,3.0,453,1.3,218,0.6,1587,4.7,6035,53107,21181,89.5,15764,66.6,8584,36.3,2495,10.5,79.4,13.1
Los Angeles,385376.0,362966.0,2012-2013,2013,94.18489994187495,0500000US06037,9893481,4878648,49.3,5014833,50.7,646180,6.5,630923,6.4,662325,6.7,729373,7.4,767908,7.8,1501451,15.2,1422582,14.4,1370135,13.8,577663,5.8,473919,4.8,600620,6.1,350713,3.5,159689,1.6,35.1,,4741492,47.9,,,2721187,27.5,803913,8.1,17674,0.2,1356049,13.7,23829,0.2,434741,4.300000000000001,6037,55909,7642462,77.8,5333687,54.3,2912806,29.7,2177718,22.2,76.6,29.7
Madera,6493.0,6190.0,2012-2013,2013,95.33343600800862,0500000US06039,151435,73133,48.3,78302,51.7,11960,7.9,11992,7.9,11759,7.8,11697,7.7,11165,7.4,20832,13.8,18904,12.5,19013,12.6,8197,5.4,7978,5.3,10403,6.9,5559,3.7,1976,1.3,33.2,,82456,54.4,,,56775,37.5,4641,3.1,1687,1.1,2942,1.9,625,0.4,4513,3.0,6039,45625,114168,79.4,65133,45.3,62527,43.5,29608,20.6,68.5,13.6
Marin,11365.0,10467.0,2012-2013,2013,92.0985481742191,0500000US06041,254643,125104,49.1,129539,50.9,13558,5.3,15099,5.9,15289,6.0,13453,5.3,10215,4.0,24485,9.6,35750,14.0,41844,16.4,20913,8.2,19411,7.6,25116,9.9,13231,5.2,6279,2.5,44.8,,39540,15.5,,,185230,72.7,6682,2.6,489,0.2,14253,5.6,518,0.2,14974,5.8,6041,90839,226350,91.1,197271,79.4,65210,26.2,22141,8.9,92.4,54.6
Mariposa,240.0,205.0,2012-2013,2013,85.41666666666666,0500000US06043,18061,9071,50.2,8990,49.8,737,4.1,711,3.9,1065,5.9,1059,5.9,856,4.7,1643,9.1,1674,9.3,3037,16.8,1777,9.8,1533,8.5,2365,13.1,1319,7.3,285,1.6,50.1,,1717,9.5,,,14939,82.7,158,0.9,418,2.3,195,1.1,81,0.4,1106,6.2,6043,49820,15713,87.6,11601,64.7,7374,41.1,2218,12.4,87.7,21.3
Mendocino,3235.0,2812.0,2012-2013,2013,86.9242658423493,0500000US06045,87497,43906,50.2,43591,49.8,5136,5.9,5108,5.8,5540,6.3,5529,6.3,4865,5.6,10382,11.9,10322,11.8,11886,13.6,6936,7.9,7244,8.3,8316,9.5,4252,4.9,1981,2.3,41.8,,19856,22.7,,,59274,67.7,591,0.7,3015,3.4,1521,1.7,180,0.2,5800,6.6,6045,43469,70526,81.5,44210,51.1,36967,42.7,16043,18.5,85.2,22.0
Merced,11664.0,11362.0,2012-2013,2013,97.41083676268862,0500000US06047,258707,130511,50.4,128196,49.6,21921,8.5,21484,8.3,22813,8.8,23822,9.2,21063,8.1,35644,13.8,32230,12.5,31124,12.0,13184,5.1,10236,4.0,14062,5.4,8239,3.2,2885,1.1,30.0,,143858,55.6,,,80708,31.2,8873,3.4,981,0.4,19445,7.5,511,0.2,8359,3.2,6047,42591,206645,80.8,124125,48.5,103242,40.4,49068,19.2,66.7,12.6
Modoc,418.0,354.0,2012-2013,2013,84.688995215311,0500000US06049,9468,4777,50.5,4691,49.5,499,5.3,428,4.5,699,7.4,549,5.8,486,5.1,856,9.0,934,9.9,1483,15.7,819,8.7,747,7.9,1160,12.3,599,6.3,209,2.2,46.9,,1353,14.3,,,7420,78.4,125,1.3,255,2.7,24,0.3,0,0.0,582,6.1,6049,36212,7466,81.8,4828,52.9,4189,45.9,1661,18.2,84.8,18.7
Mono,289.0,270.0,2012-2013,2013,93.42560553633218,0500000US06051,14217,7563,53.2,6654,46.8,837,5.9,856,6.0,879,6.2,846,6.0,1031,7.3,2182,15.3,2009,14.1,2133,15.0,1138,8.0,822,5.8,1013,7.1,339,2.4,132,0.9,37.2,,3817,26.8,,,9603,67.5,45,0.3,195,1.4,110,0.8,94,0.7,706,4.9,6051,61757,11187,79.3,8703,61.7,3865,27.4,2917,20.7,83.8,29.8
Monterey,17873.0,17207.0,2012-2013,2013,96.27370894645554,0500000US06053,420569,216345,51.4,204224,48.6,33063,7.9,31711,7.5,28990,6.9,31592,7.5,33043,7.9,63216,15.0,55305,13.2,52895,12.6,23067,5.5,21417,5.1,24488,5.8,14701,3.5,7081,1.7,33.0,,235119,55.9,,,136539,32.5,11222,2.7,1227,0.3,25117,6.0,2019,0.5,18311,4.300000000000001,6053,59168,315069,78.4,228910,57.0,124483,31.0,86719,21.6,71.0,23.0
Napa,5222.0,4964.0,2012-2013,2013,95.05936422826503,0500000US06055,137837,68721,49.9,69116,50.1,8039,5.8,8570,6.2,9034,6.6,9465,6.9,8801,6.4,16870,12.2,17649,12.8,19685,14.3,9578,6.9,8672,6.3,11297,8.2,6618,4.8,3559,2.6,39.8,,44942,32.6,,,76851,55.8,2771,2.0,477,0.3,9516,6.9,327,0.2,5762,4.2,6055,70443,116135,85.5,97898,72.1,36545,26.9,19708,14.5,83.1,31.3
Nevada,2627.0,2035.0,2012-2013,2013,77.46478873239437,0500000US06057,98509,48894,49.6,49615,50.4,4238,4.3,5111,5.2,5365,5.4,5925,6.0,4584,4.7,9340,9.5,10406,10.6,15082,15.3,9055,9.2,9206,9.3,11487,11.7,5932,6.0,2778,2.8,48.5,,8598,8.7,,,84987,86.3,329,0.3,796,0.8,1439,1.5,108,0.1,4434,4.5,6057,57353,83193,85.2,67159,68.8,33931,34.7,14467,14.8,94.3,32.3
Orange,128892.0,121898.0,2012-2013,2013,94.57375166806318,0500000US06059,3051771,1509674,49.5,1542097,50.5,192168,6.3,199292,6.5,208005,6.8,221447,7.3,222051,7.3,422089,13.8,435659,14.3,447834,14.7,184350,6.0,151499,5.0,199773,6.5,114710,3.8,52894,1.7,36.4,,1032879,33.8,,,1327507,43.5,45900,1.5,6163,0.2,555650,18.2,9138,0.3,143101,4.6000000000000005,6059,75422,2509854,82.7,1978158,65.2,752995,24.8,524745,17.3,83.8,36.8
Placer,14773.0,13206.0,2012-2013,2013,89.3928112096392,0500000US06061,355924,173709,48.8,182215,51.2,20727,5.8,24125,6.8,24783,7.0,24413,6.9,19082,5.4,39659,11.1,46908,13.2,53425,15.0,23895,6.7,21746,6.1,31452,8.8,17895,5.0,7814,2.2,40.4,,46425,13.0,,,268514,75.4,4147,1.2,1805,0.5,21953,6.2,537,0.2,24395,6.800000000000001,6061,72725,318638,90.1,278658,78.8,89225,25.2,34844,9.9,93.6,35.1
Plumas,506.0,431.0,2012-2013,2013,85.17786561264822,0500000US06063,19586,9810,50.1,9776,49.9,1011,5.2,1109,5.7,799,4.1,1027,5.2,903,4.6,1826,9.3,1903,9.7,2855,14.6,2128,10.9,1690,8.6,2686,13.7,1217,6.2,432,2.2,49.9,,1591,8.1,,,16628,84.9,238,1.2,373,1.9,149,0.8,259,1.3,696,3.6,6063,45794,15865,81.7,11840,61.0,7739,39.9,3553,18.3,89.9,22.6
Riverside,89525.0,85902.0,2012-2013,2013,95.95308573024295,0500000US06065,2228528,1109691,49.8,1118837,50.2,161165,7.2,167271,7.5,177696,8.0,183421,8.2,162952,7.3,291550,13.1,294008,13.2,295061,13.2,120101,5.4,103773,4.7,149288,6.7,89351,4.0,32891,1.5,33.9,,1025543,46.0,,,867859,38.9,131246,5.9,10085,0.5,130179,5.8,6124,0.3,109746,4.800000000000001,6065,56529,1759182,79.8,1254341,56.9,688467,31.2,445542,20.2,79.6,20.5
Sacramento,55264.0,50410.0,2012-2013,2013,91.21670526925304,0500000US06067,1435207,702786,49.0,732421,51.0,100347,7.0,98811,6.9,99876,7.0,101402,7.1,104814,7.3,211318,14.7,190839,13.3,199094,13.9,88482,6.2,73389,5.1,89668,6.2,52968,3.7,24199,1.7,35.1,,312797,21.8,,,688052,47.9,139014,9.7,7207,0.5,206253,14.4,13925,1.0,131876,9.3,6067,55064,1210208,85.4,894774,63.2,460894,32.5,206300,14.6,85.9,28.0
San Benito,2391.0,2328.0,2012-2013,2013,97.3651191969887,0500000US06069,56115,28051,50.0,28064,50.0,4046,7.2,4287,7.6,4587,8.2,4531,8.1,3731,6.6,7161,12.8,7518,13.4,8332,14.8,3393,6.0,2768,4.9,3294,5.9,1773,3.2,694,1.2,34.5,,31930,56.9,,,21025,37.5,477,0.9,188,0.3,1060,1.9,0,0.0,2689,4.7,6069,66237,47051,84.2,35230,63.0,16587,29.7,8840,15.8,76.9,18.2
San Bernardino,86075.0,83067.0,2012-2013,2013,96.50537322102817,0500000US06071,2056915,1023385,49.8,1033530,50.2,157450,7.7,155785,7.6,168238,8.2,174577,8.5,166900,8.1,289177,14.1,272186,13.2,275515,13.4,113663,5.5,92146,4.5,110923,5.4,58048,2.8,22307,1.1,31.9,,1026596,49.9,,,667933,32.5,170307,8.3,7723,0.4,129480,6.3,6302,0.3,92509,4.4,6071,54090,1610790,79.8,1099192,54.5,639922,31.7,407029,20.2,78.2,18.7
San Diego,127053.0,119805.0,2012-2013,2013,94.29529408986801,0500000US06073,3138265,1576095,50.2,1562170,49.8,206703,6.6,197944,6.3,194827,6.2,220033,7.0,272269,8.7,485980,15.5,422098,13.5,428123,13.6,186943,6.0,155399,5.0,194276,6.2,116433,3.7,57237,1.8,34.8,,1015362,32.4,,,1505595,48.0,150348,4.8,11081,0.4,342729,10.9,13343,0.4,194720,6.2,6073,62962,2524386,83.2,2014846,66.4,778619,25.7,510383,16.8,85.5,34.6
San Francisco,23663.0,22453.0,2012-2013,2013,94.88653171618138,0500000US06075,817501,415283,50.8,402218,49.2,36613,4.5,28914,3.5,26728,3.3,32786,4.0,57049,7.0,175419,21.5,135200,16.5,112498,13.8,50295,6.2,48869,6.0,57055,7.0,38053,4.7,18022,2.2,38.5,,124167,15.2,,,341100,41.7,45909,5.6,1942,0.2,270621,33.1,3362,0.4,57053,7.0,6075,75604,723169,88.9,577162,71.0,214734,26.4,89934,11.1,86.3,52.4
San Joaquin,31409.0,30431.0,2012-2013,2013,96.88624279665065,0500000US06077,693177,345105,49.8,348072,50.2,53864,7.8,54156,7.8,57015,8.2,56784,8.2,50669,7.3,92151,13.3,90687,13.1,91790,13.2,40044,5.8,31354,4.5,41278,6.0,23108,3.3,10277,1.5,32.9,,272529,39.3,,,245469,35.4,46840,6.8,2840,0.4,97353,14.0,3504,0.5,48316,6.9,6077,53380,567185,82.9,395715,57.8,232072,33.9,116956,17.1,77.3,18.1
