county,enrollment,vaccinated,school_year,year,vac_pct,GEO.id,tot_pop,male,male_pct,female,female_pct,under_5,under_5_pct,5_9,5_9_pct,10_14,10_14_pct,15_19,15_19_pct,20_24,20_24_pct,25_34,25_34_pct,35_44,35_44_pct,45_54,45_54_pct,55_59,55_59_pct,60_64,60_64_pct,65_74,65_74_pct,75_84,75_84_pct,85_over,85_over_pct,median_age,median_age_pct,hispanic_latino,hispanic_latino_pct,mexican,mexican_pct,white,white_pct,black,black_pct,aian,aian_pct,asian,asian_pct,nhopi,nhopi_pct,other,other_pct,GEO.id2_y,median_income,insurance,insurance_pct,private_insure,private_insure_pct,public_insure,public_insure_pct,no_insurance,no_insurance_pct,hs_degree_pct,bachelor_degree_pct
Glenn,3327.0,3239.0,2011-2012,2012,97.35497445145776,0500000US06021,28078,14207,50.6,13871,49.4,2104,7.5,1804,6.4,2515,9.0,2080,7.4,1976,7.0,3132,11.2,3523,12.5,4020,14.3,1637,5.8,1581,5.6,2027,7.2,1119,4.0,560,2.0,36.5,,10525,37.5,9647.0,34.4,15674,55.8,211,0.8,572,2.0,680,2.4,4,0.0,789,2.8000000000000003,6021,42641,21934,79.1,14065,50.8,11220,40.5,5780,20.9,73.5,15.4
Humboldt,11359.0,9847.0,2011-2012,2012,86.68896909939255,0500000US06023,134317,67287,50.1,67030,49.9,7583,5.6,7348,5.5,7229,5.4,9631,7.2,12272,9.1,19417,14.5,15153,11.3,18471,13.8,10854,8.1,8489,6.3,9886,7.4,5431,4.0,2553,1.9,37.5,,13208,9.8,10861.0,8.1,103889,77.3,1584,1.2,7398,5.5,3195,2.4,467,0.3,9054,6.699999999999999,6023,40830,107079,80.5,76008,57.1,46988,35.3,25935,19.5,90.3,26.4
Imperial,23063.0,22755.0,2011-2012,2012,98.66452759831765,0500000US06025,173487,89318,51.5,84169,48.5,13829,8.0,13827,8.0,13849,8.0,14921,8.6,13522,7.8,23819,13.7,22556,13.0,22281,12.8,9811,5.7,6709,3.9,9826,5.7,6427,3.7,2110,1.2,31.8,,139382,80.3,135234.0,78.0,23876,13.8,5064,2.9,1437,0.8,2420,1.4,109,0.1,2236,1.2999999999999998,6025,41255,127929,78.4,73384,45.0,64608,39.6,35202,21.6,63.8,13.2
Inyo,2177.0,2143.0,2011-2012,2012,98.43821773082223,0500000US06027,18474,9396,50.9,9078,49.1,1084,5.9,957,5.2,1134,6.1,1099,5.9,870,4.7,1979,10.7,1951,10.6,2920,15.8,1599,8.7,1359,7.4,1783,9.7,1207,6.5,532,2.9,45.7,,3575,19.4,3082.0,16.7,12202,66.0,152,0.8,1859,10.1,264,1.4,80,0.4,598,3.3,6027,45000,15267,83.7,11273,61.8,6939,38.1,2969,16.3,88.6,21.0
Kern,106448.0,103800.0,2011-2012,2012,97.51240042086276,0500000US06029,839153,432484,51.5,406669,48.5,73121,8.7,69199,8.2,67818,8.1,70911,8.5,66229,7.9,122108,14.6,108594,12.9,107498,12.8,42953,5.1,34624,4.1,44074,5.3,23742,2.8,8282,1.0,30.7,,412779,49.2,380546.0,45.3,323572,38.6,44582,5.3,5374,0.6,33404,4.0,917,0.1,35819,4.2,6029,47727,643207,79.8,420201,52.1,290377,36.0,163266,20.2,71.6,14.9
Kings,17401.0,16964.0,2011-2012,2012,97.48865007758175,0500000US06031,151982,85499,56.3,66483,43.7,12819,8.4,12139,8.0,10489,6.9,11401,7.5,13038,8.6,25091,16.5,22127,14.6,19916,13.1,7368,4.8,5450,3.6,6956,4.6,3784,2.5,1404,0.9,31.2,,77382,50.9,73408.0,48.3,53890,35.5,9978,6.6,1229,0.8,5395,3.5,278,0.2,7280,4.8,6031,48761,105593,80.3,73316,55.8,42848,32.6,25886,19.7,71.3,12.4
Lake,5505.0,5121.0,2011-2012,2012,93.02452316076294,0500000US06033,64360,32529,50.5,31831,49.5,3554,5.5,3721,5.8,3762,5.8,4123,6.4,3293,5.1,6570,10.2,7258,11.3,9976,15.5,5197,8.1,5529,8.6,6581,10.2,3168,4.9,1628,2.5,44.8,,11068,17.2,9494.0,14.8,47662,74.1,1417,2.2,1569,2.4,712,1.1,97,0.2,3544,5.6000000000000005,6033,38147,51422,80.7,32306,50.7,28657,45.0,12279,19.3,86.9,16.8
Lassen,2933.0,2728.0,2011-2012,2012,93.01056938288443,0500000US06035,34628,22681,65.5,11947,34.5,1575,4.5,1278,3.7,1792,5.2,1904,5.5,3263,9.4,6389,18.5,5458,15.8,5406,15.6,2247,6.5,1825,5.3,1984,5.7,1170,3.4,337,1.0,37.4,,6108,17.6,4836.0,14.0,23029,66.5,2852,8.2,1073,3.1,428,1.2,205,0.6,1678,4.800000000000001,6035,51921,21908,89.4,16672,68.0,8611,35.1,2600,10.6,79.9,13.5
Los Angeles,1085356.0,1052842.0,2011-2012,2012,97.00430089297889,0500000US06037,9840024,4852259,49.3,4987765,50.7,651662,6.6,632456,6.4,676243,6.9,743187,7.6,756110,7.7,1487070,15.1,1433644,14.6,1363713,13.9,561403,5.7,455981,4.6,576609,5.9,348727,3.5,153219,1.6,34.8,,4694846,47.7,3606200.0,36.6,2731605,27.8,809858,8.2,17371,0.2,1343920,13.7,23520,0.2,413196,4.3,6037,56241,7597168,77.8,5389571,55.2,2819442,28.9,2168228,22.2,76.4,29.5
Madera,17828.0,17239.0,2011-2012,2012,96.69620821180166,0500000US06039,150615,72557,48.2,78058,51.8,12119,8.0,11515,7.6,11929,7.9,11896,7.9,10819,7.2,20631,13.7,19182,12.7,19201,12.7,8347,5.5,7497,5.0,10025,6.7,5477,3.6,1977,1.3,33.2,,80939,53.7,76886.0,51.0,57468,38.2,4802,3.2,1707,1.1,2798,1.9,507,0.3,4717,3.0999999999999996,6039,47937,112369,78.9,66210,46.5,59338,41.7,30034,21.1,68.0,13.9
Marin,24034.0,22701.0,2011-2012,2012,94.45369060497629,0500000US06041,252759,124430,49.2,128329,50.8,13849,5.5,14995,5.9,14646,5.8,13039,5.2,10296,4.1,24594,9.7,36465,14.4,42156,16.7,20996,8.3,18949,7.5,23538,9.3,13037,5.2,6199,2.5,44.6,,38605,15.3,20427.0,8.1,184847,73.1,6804,2.7,398,0.2,14306,5.7,508,0.2,13847,5.5,6041,90962,222971,90.6,197192,80.1,61728,25.1,23192,9.4,92.1,54.6
Mariposa,1154.0,1044.0,2011-2012,2012,90.46793760831889,0500000US06043,18193,9130,50.2,9063,49.8,745,4.1,720,4.0,1111,6.1,896,4.9,795,4.4,1749,9.6,1852,10.2,3213,17.7,1774,9.8,1473,8.1,2255,12.4,1329,7.3,281,1.5,49.4,,1714,9.4,1504.0,8.3,15110,83.1,141,0.8,435,2.4,272,1.5,39,0.2,964,5.2,6043,52584,15669,86.7,11557,63.9,7403,41.0,2409,13.3,89.4,19.9
Mendocino,8377.0,7608.0,2011-2012,2012,90.82010266205086,0500000US06045,87577,43930,50.2,43647,49.8,5283,6.0,5064,5.8,5529,6.3,5662,6.5,5144,5.9,10152,11.6,10251,11.7,12311,14.1,7276,8.3,6915,7.9,7815,8.9,4212,4.8,1963,2.2,41.7,,19426,22.2,17275.0,19.7,59992,68.5,650,0.7,3286,3.8,1569,1.8,165,0.2,4791,5.5,6045,43721,70382,81.2,45641,52.7,35625,41.1,16256,18.8,85.0,21.4
Merced,34573.0,34083.0,2011-2012,2012,98.58270905041506,0500000US06047,256398,129131,50.4,127267,49.6,22142,8.6,21506,8.4,22656,8.8,24182,9.4,20510,8.0,35169,13.7,32215,12.6,31084,12.1,12547,4.9,10110,3.9,13462,5.3,7995,3.1,2820,1.1,29.7,,141027,55.0,133387.0,52.0,81483,31.8,8857,3.5,1085,0.4,19035,7.4,546,0.2,8334,3.3,6047,43565,205290,81.0,126233,49.8,99978,39.4,48242,19.0,66.6,12.5
Modoc,961.0,897.0,2011-2012,2012,93.34027055150884,0500000US06049,9545,4829,50.6,4716,49.4,482,5.0,462,4.8,719,7.5,585,6.1,453,4.7,851,8.9,977,10.2,1515,15.9,861,9.0,713,7.5,1151,12.1,554,5.8,222,2.3,46.8,,1337,14.0,1013.0,10.6,7518,78.8,129,1.4,270,2.8,28,0.3,0,0.0,526,5.5,6049,37482,7640,83.2,5100,55.5,4130,44.9,1548,16.8,85.1,19.4
Mono,844.0,821.0,2011-2012,2012,97.27488151658767,0500000US06051,14181,7516,53.0,6665,47.0,875,6.2,812,5.7,986,7.0,775,5.5,1056,7.4,2118,14.9,2086,14.7,2168,15.3,1004,7.1,941,6.6,914,6.4,307,2.2,139,1.0,37.1,,3747,26.4,3140.0,22.1,9674,68.2,69,0.5,219,1.5,111,0.8,28,0.2,666,4.6,6051,61868,11088,79.2,9107,65.1,3372,24.1,2908,20.8,86.3,29.1
Monterey,46307.0,45358.0,2011-2012,2012,97.95063381346233,0500000US06053,416199,214090,51.4,202109,48.6,33021,7.9,31302,7.5,28285,6.8,32232,7.7,32818,7.9,62272,15.0,54964,13.2,53192,12.8,22811,5.5,20474,4.9,23299,5.6,14554,3.5,6975,1.7,32.9,,230202,55.3,212732.0,51.1,137358,33.0,11516,2.8,1097,0.3,25265,6.1,1872,0.4,17379,4.1,6053,60143,313768,78.9,231594,58.3,121208,30.5,83680,21.1,70.4,23.2
Napa,14571.0,14115.0,2011-2012,2012,96.87049619106445,0500000US06055,136644,68206,49.9,68438,50.1,8086,5.9,8621,6.3,8930,6.5,9450,6.9,8570,6.3,16644,12.2,17870,13.1,19736,14.4,9315,6.8,8558,6.3,10690,7.8,6722,4.9,3452,2.5,39.6,,43897,32.1,38910.0,28.5,77227,56.5,2646,1.9,462,0.3,9241,6.8,416,0.3,5235,3.9000000000000004,6055,69571,115393,85.8,98044,72.9,35670,26.5,19127,14.2,82.6,31.2
Nevada,7978.0,6947.0,2011-2012,2012,87.07696164452243,0500000US06057,98521,48924,49.7,49597,50.3,4371,4.4,5026,5.1,5530,5.6,6116,6.2,4603,4.7,9149,9.3,10550,10.7,15725,16.0,9376,9.5,8622,8.8,10832,11.0,5934,6.0,2687,2.7,48.0,,8400,8.5,6583.0,6.7,85313,86.6,300,0.3,849,0.9,1353,1.4,131,0.1,4256,4.300000000000001,6057,57382,83407,85.4,68522,70.1,32583,33.4,14275,14.6,95.0,32.7
Orange,345593.0,333376.0,2011-2012,2012,96.4649168241255,0500000US06059,3021840,1495127,49.5,1526713,50.5,193834,6.4,199596,6.6,208315,6.9,223503,7.4,217265,7.2,417039,13.8,440647,14.6,443053,14.7,178193,5.9,146123,4.8,190359,6.3,113465,3.8,50448,1.7,36.2,,1015013,33.6,877065.0,29.0,1332316,44.1,45438,1.5,6676,0.2,542857,18.0,8823,0.3,134805,4.4,6059,75566,2487548,82.8,1989633,66.2,720158,24.0,517292,17.2,83.6,36.6
Placer,43299.0,40029.0,2011-2012,2012,92.44786253724104,0500000US06061,350074,170983,48.8,179091,51.2,20823,5.9,23815,6.8,24687,7.1,24261,6.9,18615,5.3,38956,11.1,47028,13.4,53086,15.2,23245,6.6,21090,6.0,29642,8.5,17684,5.1,7142,2.0,40.2,,44888,12.8,34842.0,10.0,266065,76.0,4095,1.2,2015,0.6,21306,6.1,725,0.2,21211,6.0,6061,73356,315560,90.8,279202,80.3,84618,24.3,32146,9.2,93.6,34.7
Plumas,1361.0,1229.0,2011-2012,2012,90.30124908155767,0500000US06063,19926,10031,50.3,9895,49.7,902,4.5,919,4.6,1135,5.7,1079,5.4,902,4.5,1797,9.0,2073,10.4,3054,15.3,2100,10.5,1695,8.5,2652,13.3,1243,6.2,375,1.9,49.4,,1604,8.0,1436.0,7.2,16965,85.1,253,1.3,370,1.9,234,1.2,172,0.9,656,3.2,6063,45358,16062,81.3,12390,62.7,7559,38.3,3699,18.7,90.2,22.9
