,county,city,vac_info_type,n
0,Alameda,Alameda,7thGradeData,966
1,Alameda,Alameda,ChildCareData,1198
2,Alameda,Alameda,KindergartenData,972
3,Alameda,Albany,7thGradeData,310
4,Alameda,Albany,ChildCareData,211
5,Alameda,Albany,KindergartenData,281
6,Alameda,Berkeley,7thGradeData,820
7,Alameda,Berkeley,ChildCareData,2202
8,Alameda,Berkeley,KindergartenData,879
9,Alameda,Castro Valley,7thGradeData,754
10,Alameda,Castro Valley,ChildCareData,898
11,Alameda,Castro Valley,KindergartenData,736
12,Alameda,Dublin,7thGradeData,892
13,Alameda,Dublin,ChildCareData,1240
14,Alameda,Dublin,KindergartenData,1208
15,Alameda,Emeryville,ChildCareData,184
16,Alameda,Fremont,7thGradeData,2887
17,Alameda,Fremont,ChildCareData,4303
18,Alameda,Fremont,KindergartenData,3596
19,Alameda,Hayward,7thGradeData,1619
20,Alameda,Hayward,ChildCareData,1799
21,Alameda,Hayward,KindergartenData,2243
22,Alameda,Livermore,7thGradeData,1049
23,Alameda,Livermore,ChildCareData,1511
24,Alameda,Livermore,KindergartenData,1198
25,Alameda,Newark,7thGradeData,499
26,Alameda,Newark,ChildCareData,987
27,Alameda,Newark,KindergartenData,659
28,Alameda,Oakland,7thGradeData,3942
29,Alameda,Oakland,ChildCareData,3943
30,Alameda,Oakland,KindergartenData,5308
31,Alameda,Piedmont,7thGradeData,276
32,Alameda,Piedmont,ChildCareData,95
33,Alameda,Piedmont,KindergartenData,200
34,Alameda,Pleasanton,7thGradeData,1206
35,Alameda,Pleasanton,ChildCareData,1788
36,Alameda,Pleasanton,KindergartenData,1052
37,Alameda,San Leandro,7thGradeData,992
38,Alameda,San Leandro,ChildCareData,994
39,Alameda,San Leandro,KindergartenData,978
40,Alameda,San Lorenzo,7thGradeData,618
41,Alameda,San Lorenzo,ChildCareData,314
42,Alameda,San Lorenzo,KindergartenData,362
43,Alameda,Sunol,7thGradeData,10
44,Alameda,Sunol,ChildCareData,25
45,Alameda,Sunol,KindergartenData,30
46,Alameda,Union City,7thGradeData,915
47,Alameda,Union City,ChildCareData,452
48,Alameda,Union City,KindergartenData,991
49,Amador,Ione,ChildCareData,21
50,Amador,Ione,KindergartenData,76
51,Amador,Jackson,7thGradeData,260
52,Amador,Jackson,ChildCareData,42
53,Amador,Jackson,KindergartenData,119
54,Amador,Pine Grove,ChildCareData,19
55,Amador,Pioneer,ChildCareData,20
56,Amador,Pioneer,KindergartenData,19
57,Amador,Plymouth,7thGradeData,24
58,Amador,Plymouth,ChildCareData,58
59,Amador,Plymouth,KindergartenData,24
60,Amador,Sutter Creek,KindergartenData,38
61,Butte,Biggs,7thGradeData,24
62,Butte,Biggs,KindergartenData,52
63,Butte,Chico,7thGradeData,1006
64,Butte,Chico,ChildCareData,1460
65,Butte,Chico,KindergartenData,1185
66,Butte,Durham,7thGradeData,82
67,Butte,Durham,KindergartenData,80
68,Butte,Gridley,7thGradeData,181
69,Butte,Gridley,ChildCareData,172
