facility_num,county,is_public,city,facility_name,enrollment,n,pct,reported,vac_info_type
6935035.0,Los Angeles,PRIVATE,Pasadena,LA SALLE HIGH,181.0,181.0,100.0,Y,7thGradeData
6935035.0,Los Angeles,PRIVATE,Pasadena,LA SALLE HIGH,198.0,196.0,98.9899,Y,7thGradeData
6935241.0,Los Angeles,PRIVATE,Pasadena,MARANATHA HIGH SCHOOL,141.0,136.0,96.4539,Y,7thGradeData
6935241.0,Los Angeles,PRIVATE,Pasadena,MARANATHA HIGH SCHOOL,153.0,151.0,98.69281,Y,7thGradeData
6935241.0,Los Angeles,PRIVATE,Pasadena,MARANATHA HIGH SCHOOL,163.0,161.0,98.77301,Y,7thGradeData
6935241.0,Los Angeles,PRIVATE,Pasadena,MARANATHA HIGH SCHOOL,165.0,164.0,99.39394,Y,7thGradeData
6962625.0,Los Angeles,PRIVATE,Pasadena,MAYFIELD JUNIOR,60.0,60.0,100.0,Y,7thGradeData
6962625.0,Los Angeles,PRIVATE,Pasadena,MAYFIELD JUNIOR,61.0,61.0,100.0,Y,7thGradeData
6935282.0,Los Angeles,PRIVATE,Pasadena,MAYFIELD SENIOR SCHOOL,81.0,81.0,100.0,Y,7thGradeData
6935282.0,Los Angeles,PRIVATE,Pasadena,MAYFIELD SENIOR SCHOOL,72.0,70.0,97.22222,Y,7thGradeData
6935282.0,Los Angeles,PRIVATE,Pasadena,MAYFIELD SENIOR SCHOOL,77.0,77.0,100.0,Y,7thGradeData
6935282.0,Los Angeles,PRIVATE,Pasadena,MAYFIELD SENIOR SCHOOL,73.0,73.0,100.0,Y,7thGradeData
7072978.0,Los Angeles,PRIVATE,Pasadena,NEW HORIZON SCHOOL PASADENA,11.0,11.0,100.0,Y,7thGradeData
7072978.0,Los Angeles,PRIVATE,Pasadena,NEW HORIZON SCHOOL PASADENA,16.0,15.0,93.75,Y,7thGradeData
6968093.0,Los Angeles,PRIVATE,Pasadena,PASADENA CHRISTIAN SCHOOL,48.0,48.0,100.0,Y,7thGradeData
6968093.0,Los Angeles,PRIVATE,Pasadena,PASADENA CHRISTIAN SCHOOL,59.0,58.0,98.30508,Y,7thGradeData
