"6001374","ALAMEDA","PUBLIC","DUBLIN","DUBLIN ELEMENTARY","188.0","--*","≥99%","Y","KindergartenData"
"6001390","ALAMEDA","PUBLIC","DUBLIN","FREDERIKSEN ELEMENTARY","177.0","--*","≥99%","Y","KindergartenData"
"0123935","ALAMEDA","PUBLIC","DUBLIN","HAROLD WILLIAM KOLB","165.0","--*","≥99%","Y","KindergartenData"
"0131615","ALAMEDA","PUBLIC","DUBLIN","J. M. AMADOR ELEMENTARY","164.0","--*","≥99%","Y","KindergartenData"
"6118038","ALAMEDA","PUBLIC","DUBLIN","JAMES DOUGHERTY ELEMENTARY","174.0","--*","≥99%","Y","KindergartenData"
"0114579","ALAMEDA","PUBLIC","DUBLIN","JOHN GREEN ELEMENTARY","121.0"," 119","  98","Y","KindergartenData"
"6001424","ALAMEDA","PUBLIC","DUBLIN","MURRAY ELEMENTARY","121.0","--*","≥99%","Y","KindergartenData"
"6090492","ALAMEDA","PUBLIC","EMERYVILLE","ANNA YATES ELEMENTARY","","   .","   .","N","KindergartenData"
"6104723","ALAMEDA","PUBLIC","FREMONT","ARDENWOOD ELEMENTARY","144.0","--*","≥99%","Y","KindergartenData"
"6000558","ALAMEDA","PUBLIC","FREMONT","BRIER ELEMENTARY","146.0","--*","≥99%","Y","KindergartenData"
"6089320","ALAMEDA","PUBLIC","FREMONT","BROOKVALE ELEMENTARY","179.0"," 174","  97","Y","KindergartenData"
"6000566","ALAMEDA","PUBLIC","FREMONT","CABRILLO ELEMENTARY","48.0","--*","≥95%","Y","KindergartenData"
"6000590","ALAMEDA","PUBLIC","FREMONT","E. M. GRIMMER ELEMENTARY","100.0","--*","≥99%","Y","KindergartenData"
"6111330","ALAMEDA","PUBLIC","FREMONT","FOREST PARK ELEMENTARY","144.0","--*","≥99%","Y","KindergartenData"
"6106983","ALAMEDA","PUBLIC","FREMONT","FRED E. WEIBEL ELEMENTARY","108.0","--*","≥99%","Y","KindergartenData"
"6000624","ALAMEDA","PUBLIC","FREMONT","GLENMOOR ELEMENTARY","96.0","--*","≥98%","Y","KindergartenData"
"6000640","ALAMEDA","PUBLIC","FREMONT","HARVEY GREEN ELEMENTARY","72.0","--*","≥98%","Y","KindergartenData"
"6000665","ALAMEDA","PUBLIC","FREMONT","J. HALEY DURHAM ELEMENTARY","142.0","--*","≥99%","Y","KindergartenData"
"6000673","ALAMEDA","PUBLIC","FREMONT","JAMES LEITCH ELEMENTARY","349.0","--*","≥99%","Y","KindergartenData"
"6000541","ALAMEDA","PUBLIC","FREMONT","JOHN BLACOW ELEMENTARY","105.0","--*","≥99%","Y","KindergartenData"
"6000723","ALAMEDA","PUBLIC","FREMONT","JOHN G. MATTOS ELEMENTARY","101.0","  99","  98","Y","KindergartenData"
"6066468","ALAMEDA","PUBLIC","FREMONT","JOHN GOMES ELEMENTARY","194.0","--*","≥99%","Y","KindergartenData"
"6000681","ALAMEDA","PUBLIC","FREMONT","JOSEPH AZEVADA ELEMENTARY","99.0","--*","≥98%","Y","KindergartenData"
"6090526","ALAMEDA","PUBLIC","FREMONT","JOSHUA CHADBOURNE ELEMENTARY","95.0","--*","≥98%","Y","KindergartenData"
"6090534","ALAMEDA","PUBLIC","FREMONT","MISSION SAN JOSE ELEMENTARY","102.0","--*","≥99%","Y","KindergartenData"
"6000749","ALAMEDA","PUBLIC","FREMONT","MISSION VALLEY ELEMENTARY","112.0","--*","≥99%","Y","KindergartenData"
"6000756","ALAMEDA","PUBLIC","FREMONT","NILES ELEMENTARY","48.0","--*","≥95%","Y","KindergartenData"
"6000764","ALAMEDA","PUBLIC","FREMONT","O. N. HIRSCH ELEMENTARY","48.0","--*","≥95%","Y","KindergartenData"
"6090542","ALAMEDA","PUBLIC","FREMONT","OLIVEIRA ELEMENTARY","213.0","--*","≥99%","Y","KindergartenData"
"6000798","ALAMEDA","PUBLIC","FREMONT","PARKMONT ELEMENTARY","192.0","--*","≥99%","Y","KindergartenData"
"6000806","ALAMEDA","PUBLIC","FREMONT","PATTERSON ELEMENTARY","51.0","--*","≥98%","Y","KindergartenData"
"6090559","ALAMEDA","PUBLIC","FREMONT","STEVEN MILLARD ELEMENTARY","80.0","--*","≥98%","Y","KindergartenData"
"6000715","ALAMEDA","PUBLIC","FREMONT","TOM MALONEY ELEMENTARY","97.0","--*","≥98%","Y","KindergartenData"
"6000830","ALAMEDA","PUBLIC","FREMONT","VALLEJO MILL ELEMENTARY","96.0","--*","≥98%","Y","KindergartenData"
"6089619","ALAMEDA","PUBLIC","FREMONT","WARWICK ELEMENTARY","144.0","--*","≥99%","Y","KindergartenData"
"6062160","ALAMEDA","PUBLIC","CASTRO VALLEY","STROBRIDGE ELEMENTARY","70.0","--*","≥98%","Y","KindergartenData"
"6000889","ALAMEDA","PUBLIC","HAYWARD","BOWMAN ELEMENTARY","51.0","--*","≥98%","Y","KindergartenData"
"6000905","ALAMEDA","PUBLIC","HAYWARD","BURBANK ELEMENTARY","125.0"," 123","  98","Y","KindergartenData"
"6000913","ALAMEDA","PUBLIC","HAYWARD","CHERRYLAND ELEMENTARY","107.0"," 104","  97","Y","KindergartenData"
"6000921","ALAMEDA","PUBLIC","HAYWARD","EAST AVENUE ELEMENTARY","84.0","--*","≥98%","Y","KindergartenData"
"6090583","ALAMEDA","PUBLIC","HAYWARD","EDEN GARDENS ELEMENTARY","86.0","--*","≥98%","Y","KindergartenData"
"6000947","ALAMEDA","PUBLIC","HAYWARD","ELDRIDGE ELEMENTARY","56.0","--*","≥98%","Y","KindergartenData"
"6000962","ALAMEDA","PUBLIC","HAYWARD","FAIRVIEW ELEMENTARY","85.0","--*","≥98%","Y","KindergartenData"
"6000988","ALAMEDA","PUBLIC","HAYWARD","GLASSBROOK ELEMENTARY","87.0","--*","≥98%","Y","KindergartenData"
"6000996","ALAMEDA","PUBLIC","HAYWARD","HARDER ELEMENTARY","84.0","--*","≥98%","Y","KindergartenData"
"0127696","ALAMEDA","PUBLIC","HAYWARD","KNOWLEDGE ENLIGHTENS YOU (KEY) ACADEMY","48.0","--*","≥95%","Y","KindergartenData"
"6001044","ALAMEDA","PUBLIC","HAYWARD","LONGWOOD ELEMENTARY","100.0","--*","≥99%","Y","KindergartenData"
"6001051","ALAMEDA","PUBLIC","HAYWARD","LORIN A. EDEN ELEMENTARY","52.0","--*","≥98%","Y","KindergartenData"
"6001093","ALAMEDA","PUBLIC","HAYWARD","PALMA CEIA ELEMENTARY","72.0","--*","≥98%","Y","KindergartenData"
"6001101","ALAMEDA","PUBLIC","HAYWARD","PARK ELEMENTARY","110.0","--*","≥99%","Y","KindergartenData"
"6001127","ALAMEDA","PUBLIC","HAYWARD","RUUS ELEMENTARY","73.0","--*","≥98%","Y","KindergartenData"
"6001135","ALAMEDA","PUBLIC","HAYWARD","SCHAFER PARK ELEMENTARY","109.0","--*","≥99%","Y","KindergartenData"
"6001176","ALAMEDA","PUBLIC","HAYWARD","SOUTHGATE ELEMENTARY","83.0","--*","≥98%","Y","KindergartenData"
"0111815","ALAMEDA","PUBLIC","HAYWARD","STONEBRAE ELEMENTARY","112.0","--*","≥99%","Y","KindergartenData"
"6001192","ALAMEDA","PUBLIC","HAYWARD","TREEVIEW ELEMENTARY","90.0","--*","≥98%","Y","KindergartenData"
"6104566","ALAMEDA","PUBLIC","HAYWARD","TYRRELL ELEMENTARY","97.0","--*","≥98%","Y","KindergartenData"
"6117543","ALAMEDA","PUBLIC","LIVERMORE","ALTAMONT CREEK ELEMENTARY","88.0","--*","≥98%","Y","KindergartenData"
"6071906","ALAMEDA","PUBLIC","LIVERMORE","ARROYO SECO ELEMENTARY","124.0","--*","≥99%","Y","KindergartenData"
"6001259","ALAMEDA","PUBLIC","LIVERMORE","EMMA C. SMITH ELEMENTARY","129.0"," 127","  98","Y","KindergartenData"
"6001283","ALAMEDA","PUBLIC","LIVERMORE","JACKSON AVENUE ELEMENTARY","115.0","--*","≥99%","Y","KindergartenData"
"6001291","ALAMEDA","PUBLIC","LIVERMORE","JOE MICHELL","103.0"," 101","  98","Y","KindergartenData"
"6001234","ALAMEDA","PUBLIC","LIVERMORE","JUNCTION K-8","87.0","--*","≥98%","Y","KindergartenData"
"6110332","ALAMEDA","PUBLIC","LIVERMORE","LEO R. CROCE ELEMENTARY","119.0","--*","≥99%","Y","KindergartenData"
"0107839","ALAMEDA","PUBLIC","LIVERMORE","LIVERMORE VALLEY CHARTER","85.0","  82","  96","Y","KindergartenData"
"6001317","ALAMEDA","PUBLIC","LIVERMORE","MARYLIN AVENUE ELEMENTARY","94.0","  91","  97","Y","KindergartenData"
"6089338","ALAMEDA","PUBLIC","LIVERMORE","RANCHO LAS POSITAS ELEMENTARY","122.0"," 120","  98","Y","KindergartenData"
"6097661","ALAMEDA","PUBLIC","LIVERMORE","SUNSET ELEMENTARY","126.0","--*","≥99%","Y","KindergartenData"
"6001606","ALAMEDA","PUBLIC","HAYWARD","HILLVIEW CREST ELEMENTARY","128.0","--*","≥99%","Y","KindergartenData"
"6001572","ALAMEDA","PUBLIC","UNION CITY","ALVARADO ELEMENTARY","147.0","--*","≥99%","Y","KindergartenData"
"6118525","ALAMEDA","PUBLIC","UNION CITY","DELAINE EASTIN ELEMENTARY","149.0","--*","≥99%","Y","KindergartenData"
"6115554","ALAMEDA","PUBLIC","UNION CITY","GUY JR. EMANUELE ELEMENTARY","145.0","--*","≥99%","Y","KindergartenData"
"6101604","ALAMEDA","PUBLIC","UNION CITY","PIONEER ELEMENTARY","152.0","--*","≥99%","Y","KindergartenData"
"6001622","ALAMEDA","PUBLIC","UNION CITY","SEARLES ELEMENTARY","145.0","--*","≥99%","Y","KindergartenData"
"6115505","ALAMEDA","PUBLIC","UNION CITY","TOM KITAYAMA ELEMENTARY","152.0","--*","≥99%","Y","KindergartenData"
"6001440","ALAMEDA","PUBLIC","NEWARK","AUGUST SCHILLING ELEMENTARY","68.0","--*","≥98%","Y","KindergartenData"
"6001457","ALAMEDA","PUBLIC","NEWARK","E. L. MUSICK ELEMENTARY","59.0","--*","≥98%","Y","KindergartenData"
"6001473","ALAMEDA","PUBLIC","NEWARK","H. A. SNOW ELEMENTARY","47.0","--*","≥95%","Y","KindergartenData"
"6001481","ALAMEDA","PUBLIC","NEWARK","JAMES A. GRAHAM ELEMENTARY","48.0","--*","≥95%","Y","KindergartenData"
"6001499","ALAMEDA","PUBLIC","NEWARK","JAMES L. BUNKER ELEMENTARY","145.0","--*","≥99%","Y","KindergartenData"
"6001507","ALAMEDA","PUBLIC","NEWARK","JOHN F. KENNEDY ELEMENTARY","63.0","--*","≥98%","Y","KindergartenData"
"6001523","ALAMEDA","PUBLIC","NEWARK","LINCOLN ELEMENTARY","72.0","--*","≥98%","Y","KindergartenData"
"6001531","ALAMEDA","PUBLIC","NEWARK","LOUIS MILANI ELEMENTARY","","   .","   .","N","KindergartenData"
"0111476","ALAMEDA","PUBLIC","OAKLAND","ACHIEVE ACADEMY","125.0"," 118","  94","Y","KindergartenData"
"6002273","ALAMEDA","PUBLIC","OAKLAND","ACORN WOODLAND ELEMENTARY","51.0","--*","≥98%","Y","KindergartenData"
"6001630","ALAMEDA","PUBLIC","OAKLAND","ALLENDALE ELEMENTARY","75.0","  73","  97","Y","KindergartenData"
"0114363","ALAMEDA","PUBLIC","OAKLAND","AMERICAN INDIAN PUBLIC CHARTER SCHOOL II","40.0","--*","≥95%","Y","KindergartenData"
"6118608","ALAMEDA","PUBLIC","OAKLAND","ASCEND","49.0","--*","≥95%","Y","KindergartenData"
"0109819","ALAMEDA","PUBLIC","OAKLAND","ASPIRE BERKLEY MAYNARD ACADEMY","67.0","  64","  96","Y","KindergartenData"
"0128413","ALAMEDA","PUBLIC","OAKLAND","ASPIRE COLLEGE ACADEMY","47.0","--*","≥95%","Y","KindergartenData"
"0120188","ALAMEDA","PUBLIC","OAKLAND","ASPIRE ERES ACADEMY","21.0","--*","≥95%","Y","KindergartenData"
"6117568","ALAMEDA","PUBLIC","OAKLAND","ASPIRE MONARCH ACADEMY","79.0","--*","≥98%","Y","KindergartenData"
"0130732","ALAMEDA","PUBLIC","OAKLAND","ASPIRE TRIUMPH TECHNOLOGY ACADEMY","47.0","--*","≥95%","Y","KindergartenData"
"6001655","ALAMEDA","PUBLIC","OAKLAND","BELLA VISTA ELEMENTARY","97.0","  91","  94","Y","KindergartenData"
"6002075","ALAMEDA","PUBLIC","OAKLAND","BRIDGES ACADEMY","90.0","  87","  97","Y","KindergartenData"
"6001663","ALAMEDA","PUBLIC","OAKLAND","BROOKFIELD ELEMENTARY","49.0","--*","≥95%","Y","KindergartenData"
"6001689","ALAMEDA","PUBLIC","OAKLAND","BURCKHALTER ELEMENTARY","42.0","--*","≥95%","Y","KindergartenData"
"6001697","ALAMEDA","PUBLIC","OAKLAND","CARL B. MUNCK ELEMENTARY","66.0","  60","  91","Y","KindergartenData"
"0131672","ALAMEDA","PUBLIC","OAKLAND","CASTLEMONT PRIMARY ACADEMY","39.0","  24","  62","Y","KindergartenData"
"6001648","ALAMEDA","PUBLIC","OAKLAND","CHABOT ELEMENTARY","96.0","  93","  97","Y","KindergartenData"
"6001739","ALAMEDA","PUBLIC","OAKLAND","CLEVELAND ELEMENTARY","72.0","  70","  97","Y","KindergartenData"
"0115204","ALAMEDA","PUBLIC","OAKLAND","COMMUNITY UNITED ELEMENTARY","68.0","--*","≥98%","Y","KindergartenData"
"6001754","ALAMEDA","PUBLIC","OAKLAND","CROCKER HIGHLANDS ELEMENTARY","73.0","--*","≥98%","Y","KindergartenData"
"0115600","ALAMEDA","PUBLIC","OAKLAND","EAST OAKLAND PRIDE ELEMENTARY","58.0","--*","≥98%","Y","KindergartenData"
"6001812","ALAMEDA","PUBLIC","OAKLAND","EMERSON ELEMENTARY","75.0","  73","  97","Y","KindergartenData"
"0102988","ALAMEDA","PUBLIC","OAKLAND","ENCOMPASS ACADEMY ELEMENTARY","71.0","--*","≥98%","Y","KindergartenData"
"6002190","ALAMEDA","PUBLIC","OAKLAND","ESPERANZA ELEMENTARY","72.0","--*","≥98%","Y","KindergartenData"
"0132514","ALAMEDA","PUBLIC","OAKLAND","FRANCOPHONE CHARTER SCHOOL OF OAKLAND","73.0","  60","  82","Y","KindergartenData"
"6001820","ALAMEDA","PUBLIC","OAKLAND","FRANKLIN ELEMENTARY","123.0"," 119","  97","Y","KindergartenData"
"0112813","ALAMEDA","PUBLIC","OAKLAND","FRED T. KOREMATSU DISCOVERY ACADEMY","56.0","  54","  96","Y","KindergartenData"
"6001838","ALAMEDA","PUBLIC","OAKLAND","FRUITVALE ELEMENTARY","77.0","  74","  96","Y","KindergartenData"
"0115576","ALAMEDA","PUBLIC","OAKLAND","FUTURES ELEMENTARY","50.0","--*","≥98%","Y","KindergartenData"
"6001846","ALAMEDA","PUBLIC","OAKLAND","GARFIELD ELEMENTARY","120.0"," 115","  96","Y","KindergartenData"
"6001853","ALAMEDA","PUBLIC","OAKLAND","GLENVIEW ELEMENTARY","96.0","  85","  89","Y","KindergartenData"
"0115584","ALAMEDA","PUBLIC","OAKLAND","GLOBAL FAMILY","93.0","--*","≥98%","Y","KindergartenData"
"6001879","ALAMEDA","PUBLIC","OAKLAND","GRASS VALLEY ELEMENTARY","43.0","--*","≥95%","Y","KindergartenData"
"0115618","ALAMEDA","PUBLIC","OAKLAND","GREENLEAF ELEMENTARY","89.0","  86","  97","Y","KindergartenData"
"6001911","ALAMEDA","PUBLIC","OAKLAND","HILLCREST ELEMENTARY","43.0","--*","≥95%","Y","KindergartenData"
"6057046","ALAMEDA","PUBLIC","OAKLAND","HOOVER ELEMENTARY","64.0","  62","  97","Y","KindergartenData"
"6001929","ALAMEDA","PUBLIC","OAKLAND","HORACE MANN ELEMENTARY","71.0","  68","  96","Y","KindergartenData"
"6001713","ALAMEDA","PUBLIC","OAKLAND","HOWARD ELEMENTARY","47.0","--*","≥95%","Y","KindergartenData"
"6118616","ALAMEDA","PUBLIC","OAKLAND","INTERNATIONAL COMMUNITY","45.0","--*","≥95%","Y","KindergartenData"
"6001945","ALAMEDA","PUBLIC","OAKLAND","JOAQUIN MILLER ELEMENTARY","68.0","--*","≥98%","Y","KindergartenData"
"6001895","ALAMEDA","PUBLIC","OAKLAND","KAISER ELEMENTARY","41.0","  37","  90","Y","KindergartenData"
"0115014","ALAMEDA","PUBLIC","OAKLAND","KIPP BRIDGE ACADEMY","77.0","--*","≥98%","Y","KindergartenData"
"6096523","ALAMEDA","PUBLIC","OAKLAND","LA ESCUELITA ELEMENTARY","80.0","--*","≥98%","Y","KindergartenData"
"6001978","ALAMEDA","PUBLIC","OAKLAND","LAFAYETTE ELEMENTARY","21.0","--*","≥95%","Y","KindergartenData"
"6001994","ALAMEDA","PUBLIC","OAKLAND","LAUREL ELEMENTARY","104.0","--*","≥99%","Y","KindergartenData"
"0115592","ALAMEDA","PUBLIC","OAKLAND","LEARNING WITHOUT LIMITS","72.0","  63","  88","Y","KindergartenData"
"0130633","ALAMEDA","PUBLIC","OAKLAND","LIGHTHOUSE COMMUNITY CHARTER","48.0","--*","≥95%","Y","KindergartenData"
"6002018","ALAMEDA","PUBLIC","OAKLAND","LINCOLN ELEMENTARY","148.0","--*","≥99%","Y","KindergartenData"
